id,grieks,translit,translitz,nedS,nedI,nedSz,nedIz,strong,CGTparsing,CGTparsingT,CGTparsingN,CGTparsingTN,griUniekeid,bijvolgende,samen
18,ιουδας,ioudas,ioudas,JUDA,Juda,JUDA,Juda,2455,N-NSM,N-NSM,N-NME,N-NME,2644,NULL,NULL
19,φαρες,p<sup>h</sup>ares,phares,PERES,Peres,PERES,Peres,5329,N-PRI,N-PRI,N-NAE,N-NAE,4107,NULL,NULL
20,ζαρα,zara,zara,ZERACH,Zerach,ZERACH,Zerach,2196,N-PRI,N-PRI,N-NAE,N-NAE,5483,NULL,NULL
21,εκ,ek,ek,UIT,uit,UIT,uit,1537,PREP+2,PREP,PREP,PREP,1481,NULL,NULL
22,της,tēs,tes,<i>van</i>-DE/HET,<i>van</i> de/het,van-DE/HET,van de/het,3588,T-GSF,T-GSF,T-GVE,T-GVE,2380,NULL,NULL
23,θαμαρ,t<sup>h</sup>amar,thamar,THAMAR,Tamar,THAMAR,Tamar,2283,N-PRI,N-PRI,N-NAE,N-NAE,5270,NULL,NULL
24,εσρωμ,esrōm,esrom,CHESRON,Chesron,CHESRON,Chesron,2074,N-PRI,N-PRI,N-NAE,N-NAE,1957,NULL,NULL
25,αραμ,aram,aram,ARAM,Aram,ARAM,Aram,689,N-PRI,N-PRI,N-NAE,N-NAE,668,NULL,NULL
26,αμιναδαβ,aminadab,aminadab,AMMINADAB,Amminadab,AMMINADAB,Amminadab,284,N-PRI,N-PRI,N-NAE,N-NAE,242,NULL,NULL
27,ναασσων,naassōn,naasson,NACHSON,Nachson,NACHSON,Nachson,3476,N-PRI,N-PRI,N-NAE,N-NAE,3543,NULL,NULL
28,σαλμων,salmōn,salmon,SALMON,Salmon,SALMON,Salmon,4533,N-PRI,N-PRI,N-NAE,N-NAE,4722,NULL,NULL
29,βοες,boes,boes,BOAZ,Boaz,BOAZ,Boaz,1003,N-PRI,N-PRI,N-NAE,N-NAE,944,NULL,NULL
30,ραχαβ,r<sup>h</sup>ak<sup>h</sup>ab,rhakhab,RACHAB,Rachab,RACHAB,Rachab,4477,N-PRI,N-PRI,N-NAE,N-NAE,4652,NULL,NULL
31,ιωβηδ,iōbēd,iobed,OBED,Obed,OBED,Obed,5601,N-PRI,N-PRI,N-NAE,N-NAE,2621,NULL,NULL
32,ρουθ,r<sup>h</sup>out<sup>h</sup>,rhouth,RUTH,Ruth,RUTH,Ruth,4503,N-PRI,N-PRI,N-NAE,N-NAE,4706,NULL,NULL
33,ιεσσαι,iessai,iessai,ISAI,Isaï,ISAI,Isaï,2421,N-PRI,N-PRI,N-NAE,N-NAE,2611,NULL,NULL
34,βασιλεα,basilea,basilea,KONING,koning,KONING,koning,935,N-ASM,N-ASM,N-AME,N-AME,877,NULL,NULL
35,σολομωνα,solomōna,solomona,SALOMO,Salomo,SALOMO,Salomo,4672,N-ASM,N-ASM,N-AME,N-AME,4864,NULL,NULL
36,του,tou,tou,<i>van</i>-DE/HET,<i>van</i> de/het,van-DE/HET,van de/het,3588,T-GSM,T-GSM,T-GME,T-GME,2380,NULL,NULL
37,ουριου,ouriou,ouriou,URIA,Uría,URIA,Uría,3774,N-GSM,N-GSM,N-GME,N-GME,3798,NULL,NULL
38,σολομων,solomōn,solomon,SALOMO,Salomo,SALOMO,Salomo,4672,N-NSM,N-NSM,N-NME,N-NME,4864,NULL,NULL
39,ροβοαμ,r<sup>h</sup>oboam,rhoboam,RECHABEAM,Rechabeam,RECHABEAM,Rechabeam,4497,N-PRI,N-PRI,N-NAE,N-NAE,4697,NULL,NULL
40,αβια,abia,abia,ABIA,Abia,ABIA,Abia,7,N-PRI,N-PRI,N-NAE,N-NAE,7,NULL,NULL
41,ασαφ,asap<sup>h</sup>,asaph,ASA,Asa,ASA,Asa,[760],N-PRI,N-PRI,N-NAE,N-NAE,732,NULL,NULL
42,ιωσαφατ,iōsap<sup>h</sup>at,iosaphat,JOSAFAT,Jósafat,JOSAFAT,Jósafat,2498,N-PRI,N-PRI,N-NAE,N-NAE,2631,NULL,NULL
43,ιωραμ,iōram,ioram,JORAM,Joram,JORAM,Joram,2496,N-PRI,N-PRI,N-NAE,N-NAE,2627,NULL,NULL
44,οζιαν,ozian,ozian,UZZIA,Uzzia,UZZIA,Uzzia,3604,N-ASM,N-ASM,N-AME,N-AME,3805,NULL,NULL
45,οζιας,ozias,ozias,UZZIA,Uzzia,UZZIA,Uzzia,3604,N-NSM,N-NSM,N-NME,N-NME,3805,NULL,NULL
46,ιωαθαμ,iōat<sup>h</sup>am,ioatham,JOTAM,Jotam,JOTAM,Jotam,2488,N-PRI,N-PRI,N-NAE,N-NAE,2619,NULL,NULL
47,αχαζ,ak<sup>h</sup>az,akhaz,ACHAZ,Achaz,ACHAZ,Achaz,881,N-PRI,N-PRI,N-NAE,N-NAE,15,NULL,NULL
48,εζεκιαν,<sup>h</sup>ezekian,hezekian,HIZKIA,Hizkía,HIZKIA,Hizkía,1478,N-ASM,N-ASM,N-AME,N-AME,2342,NULL,NULL
49,εζεκιας,<sup>h</sup>ezekias,hezekias,HIZKIA,Hizkía,HIZKIA,Hizkía,1478,N-NSM,N-NSM,N-NME,N-NME,2342,NULL,NULL
50,μανασση,manassē,manasse,MANASSE,Manasse,MANASSE,Manasse,3128,N-ASM,N-ASM,N-AME,N-AME,3302,NULL,NULL
51,μανασση,manassē,manasse,MANASSE,Manasse,MANASSE,Manasse,3128,N-NSM,N-NSM,N-NME,N-NME,3302,NULL,NULL
52,αμως,amōs,amos,AMOS,Amos,AMOS,Amos,301,N-PRI,N-PRI,N-NAE,N-NAE,249,NULL,NULL
53,ιωσειαν,iōseian,ioseian,JOSIA,Josía,JOSIA,Josía,2502,N-ASM,N-ASM,N-AME,N-AME,2633,NULL,NULL
54,ιωσειας,iōseias,ioseias,JOSIA,Josía,JOSIA,Josía,2502,N-NSM,N-NSM,N-NME,N-NME,2633,NULL,NULL
55,ιεχονιαν,iek<sup>h</sup>onian,iekhonian,JECHONJA,Jechónja,JECHONJA,Jechónja,2423,N-ASM,N-ASM,N-AME,N-AME,2602,NULL,NULL
56,επι,epi,epi,OP,op/over,OP,op/over,1909,PREP+2,PREP,PREP,PREP,1797,NULL,NULL
57,μετοικεσιας,metoikesias,metoikesias,MET-HUIZing,ballingschap,MET-HUIZing,ballingschap,3350,N-GSF,N-GSF,N-GVE,N-GVE,3451,NULL,NULL
58,βαβυλωνος,babulōnos,babulonos,<i>van</i>-BABYLON,<i>van</i> Babylon,van-BABYLON,van Babylon,897,N-GSF,N-GSF,N-GVE,N-GVE,844,NULL,NULL
59,μετα,meta,meta,MET,na/nadat,MET,na/nadat,3326,PREP+4,PREP,PREP,PREP,3412,NULL,NULL
60,την,tēn,ten,DE/HET,de/het,DE/HET,de/het,3588,T-ASF,T-ASF,T-AVE,T-AVE,2380,NULL,NULL
61,μετοικεσιαν,metoikesian,metoikesian,MET-HUIZing,ballingschap,MET-HUIZing,ballingschap,3350,N-ASF,N-ASF,N-AVE,N-AVE,3451,NULL,NULL
62,ιεχονιας,iek<sup>h</sup>onias,iekhonias,JECHONJA,Jechónja,JECHONJA,Jechónja,2423,N-NSM,N-NSM,N-NME,N-NME,2602,NULL,NULL
63,σαλαθιηλ,salat<sup>h</sup>iēl,salathiel,SEALTIEL,Sealtiël,SEALTIEL,Sealtiël,4528,N-PRI,N-PRI,N-NAE,N-NAE,4718,NULL,NULL
64,ζοροβαβελ,zorobabel,zorobabel,ZERUBBABEL,Zerubbábel,ZERUBBABEL,Zerubbábel,2216,N-PRI,N-PRI,N-NAE,N-NAE,5507,NULL,NULL
65,αβιουδ,abioud,abioud,ABIHUD,Abiud,ABIHUD,Abiud,10,N-PRI,N-PRI,N-NAE,N-NAE,9,NULL,NULL
66,ελιακειμ,eliakeim,eliakeim,ELJAKIM,Eljakim,ELJAKIM,Eljakim,1662,N-PRI,N-PRI,N-NAE,N-NAE,1604,NULL,NULL
67,αζωρ,azōr,azor,AZOR,Azor,AZOR,Azor,107,N-PRI,N-PRI,N-NAE,N-NAE,840,NULL,NULL
68,σαδωκ,sadōk,sadok,SADOK,Sadok,SADOK,Sadok,4524,N-PRI,N-PRI,N-NAE,N-NAE,4712,NULL,NULL
69,αχιμ,ak<sup>h</sup>im,akhim,ACHIM,Achim,ACHIM,Achim,885,N-PRI,N-PRI,N-NAE,N-NAE,16,NULL,NULL
70,ελιουδ,elioud,elioud,ELIUD,Eliud,ELIUD,Eliud,1664,N-PRI,N-PRI,N-NAE,N-NAE,1607,NULL,NULL
71,ελεαζαρ,eleazar,eleazar,ELEAZAR,Eleázar,ELEAZAR,Eleázar,1648,N-PRI,N-PRI,N-NAE,N-NAE,1588,NULL,NULL
72,ματθαν,matt<sup>h</sup>an,matthan,MATTAN,Mattan,MATTAN,Mattan,3157,N-PRI,N-PRI,N-NAE,N-NAE,3337,NULL,NULL
73,ιωσηφ,iōsēp<sup>h</sup>,ioseph,JOZEF,Jozef,JOZEF,Jozef,2501,N-PRI,N-PRI,N-NAE,N-NAE,2634,NULL,NULL
74,ανδρα,andra,andra,MAN,man,MAN,man,435,N-ASM,N-ASM,N-AME,N-AME,387,NULL,NULL
75,μαριας,marias,marias,<i>van</i>-MARIA,<i>van</i> Maria,van-MARIA,van Maria,3137,N-GSF,N-GSF,N-GVE,N-GVE,3310,NULL,NULL
76,εξ,ek<sup>s</sup>,eks,UIT,uit,UIT,uit,1537,PREP+2,PREP,PREP,PREP,1481,NULL,NULL
77,ης,<sup>h</sup>ēs,hes,<i>van</i>-WELK,<i>van</i> welke,van-WELK,van welke,3739,R-GSF,R-GSF,R-GVE,R-GVE,2381,NULL,NULL
79,ιησους,iēsous,iesous,JAHWE+is+HULP,Jezus,JAHWE+is+HULP,Jezus,2424,N-NSM,N-NSM,N-NME,N-NME,2609,NULL,NULL
80,ο,<sup>h</sup>o,ho,DE/HET,de/het,DE/HET,de/het,3588,T-NSM,T-NSM,T-NME,T-NME,2380,NULL,NULL
81,λεγομενος,legomenos,legomenos,VERZAMELEN<i>de-zijnde</i><sup>๏</sup>,zeggen<i>de zijnde</i><sup>๏</sup>,VERZAMELENde-zijnde,zeggende zijnde,3004,V-NIMP-NSM,V-PPP-NSM,W-GOMD-NME,W-Pr-Med-Ptc-NME,3181,NULL,NULL
82,χριστος,k<sup>h</sup>ristos,khristos,geZALFde,Christus,geZALFde,Christus,5547,N-NSM,N-NSM,N-NME,N-NME,1078,NULL,NULL
83,πασαι,pasai,pasai,AL<i>le</i>,al<i>le</i>/ieder<i>e</i>,ALle,alle/iedere,3956,A-NPF,A-NPF,A-NVM,A-NVM,3830,NULL,NULL
84,ουν,oun,oun,DAN,dan,DAN,dan,3767,CONJ,CONJ,VOEG,VOEG,3791,NULL,NULL
85,αι,<sup>h</sup>ai,hai,DE/HET,de,DE/HET,de,3588,T-NPF,T-NPF,T-NVM,T-NVM,2380,NULL,NULL
86,γενεαι,geneai,geneai,GEWORDEN<i>en</i>,generatie<i>s</i>,GEWORDENen,generaties,1074,N-NPF,N-NPF,N-NVM,N-NVM,2136,NULL,NULL
87,απο,apo,apo,VANAF,vanaf,VANAF,vanaf,575,PREP+2,PREP,PREP,PREP,556,NULL,NULL
88,εως,<sup>h</sup>eōs,heos,TOT,tot,TOT,tot,2193,CONJ,ADV,VOEG,VOEG,2305,NULL,NULL
89,δεκατεσσαρες,dekatessares,dekatessares,TIEN-VIER,veertien,TIEN-VIER,veertien,1180,A-NPF,A-NPF,A-NVM,A-NVM,1132,NULL,NULL
90,ιησου,iēsou,iesou,JAHWE+is+HULP,Jezus,JAHWE+is+HULP,Jezus,2424,N-GSM,N-GSM,N-GME,N-GME,2609,NULL,NULL
91,η,<sup>h</sup>ē,he,DE/HET,de/het,DE/HET,de/het,3588,T-NSF,T-NSF,T-NVE,T-NVE,2380,NULL,NULL
92,γενεσις,genesis,genesis,GEWORDing,wording,GEWORDing,wording,1078,N-NSF,N-NSF,N-NVE,N-NVE,2141,NULL,NULL
93,ουτως,<sup>h</sup>outōs,houtos,DE/HET-ZELFDE-ALS,zo,DE/HET-ZELFDE-ALS,zo,3779,ADV,ADV,BIJW,BIJW,2458,NULL,NULL
95,μνηστευθεισης,mnēsteut<sup>h</sup>eisēs,mnesteutheises,<i>van</i>-HERINNER<i>d-wordende</i>,<i>van</i> verloof<i>d wordende</i>,van-HERINNERd-wordende,van verloofd wordende,3423,V-NNPP-GSF,V-APP-GSF,W-GHPD-GVE,W-Ao-Pas-Ptc-GVE,3491,NULL,NULL
96,της,tēs,tes,DE/HET,de/het,DE/HET,de/het,3588,T-GSF,T-GSF,T-GVE,T-GVE,2380,NULL,NULL
97,μητρος,mētros,metros,MOEDER,moeder,MOEDER,moeder,3384,N-GSF,N-GSF,N-GVE,N-GVE,3438,NULL,NULL
98,μαριας,marias,marias,MARIA,Maria,MARIA,Maria,3137,N-GSF,N-GSF,N-GVE,N-GVE,3310,NULL,NULL
99,τω,tō,to,<i>aan</i>-DE/HET,<i>aan</i> de/het,aan-DE/HET,aan de/het,3588,T-DSM,T-DSM,T-DME,T-DME,2380,NULL,NULL
100,πριν,prin,prin,EERDER,voordat,EERDER,voordat,4250,ADV,ADV,BIJW,BIJW,4409,NULL,NULL
101,η,ē,e,OF,of,OF,of,2228,PRT,PRT,PRT,PRT,1395,NULL,NULL
102,συνελθειν,sunelt<sup>h</sup>ein,sunelthein,SAMEN-<i>te</i>-KOMEN,samen <i>te</i> komen,SAMEN-te-KOMEN,samen te komen,4905,V-NNAN,V-2AAN,W-GHAO,W-2Ao-Act-Inf,5113,NULL,NULL
103,αυτους,autous,autous,ZELFDE,zelf,ZELFDE,zelf,846,P-APM,P-APM,P-AMM,P-AMM,833,NULL,NULL
104,ευρεθη,<sup>h</sup>euret<sup>h</sup>ē,heurethe,<i>(hij)-wordt-ge</i>VONDEN,<i>(hij) wordt ge</i>vonden,zij-wordt-geVONDEN,zij wordt gevonden,2147,V-NNPI-3S,V-API-3S,W-GHPA-3E,W-Ao-Pas-Ind-3E,2336,NULL,NULL
105,εν,en,en,IN,in,IN,in,1722,PREP+3,PREP,PREP,PREP,1653,NULL,NULL
106,γαστρι,gastri,gastri,<i>aan</i>-BUIK,<i>aan</i> buik,aan-BUIK,aan buik,1064,N-DSF,N-DSF,N-DVE,N-DVE,2123,NULL,NULL
107,εχουσα,ek<sup>h</sup>ousa,ekhousa,HEBBEN<i>de-zijnde</i>,hebben<i>de zijnde</i>,HEBBENde-zijnde,hebbende zijnde,2192,V-NIAP-NSF,V-PAP-NSF,W-GOAD-NVE,W-Pr-Act-Ptc-NVE,1404,NULL,NULL
108,πνευματος,pneumatos,pneumatos,<i>van</i>-BLAAS-effect,<i>van</i> geest,van-BLAAS-effect,van geest,4151,N-GSN,N-GSN,N-GOE,N-GOE,4306,NULL,NULL
109,αγιου,<sup>h</sup>agiou,hagiou,HEILIG,heilig,HEILIG,heilig,40,A-GSN,A-GSN,A-GOE,A-GOE,2205,NULL,NULL
110,ανηρ,anēr,aner,MAN,man,MAN,man,435,N-NSM,N-NSM,N-NME,N-NME,387,NULL,NULL
111,αυτης,autēs,autes,<i>van</i>-ZELFDE,<i>van</i> zelf,van-ZELFDE,van zelf,846,P-GSF,P-GSF,P-GVE,P-GVE,833,NULL,NULL
112,δικαιος,dikaios,dikaios,RECHTVAARDIG,rechtvaardig,RECHTVAARDIG,rechtvaardig,1342,A-NSM,A-NSM,A-NME,A-NME,1299,NULL,NULL
113,ων,ōn,on,ZIJN<i>de</i>,zijn<i>de</i>,ZIJNde,zijnde,5607 (1510),V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,1459,NULL,NULL
114,μη,mē,me,NEE,(toch) niet,NEE,(toch) niet,3361,PRT-N,PRT-N,PRT-N,PRT-N,3340,NULL,NULL
115,θελων,t<sup>h</sup>elōn,thelon,WILlen<i>de-zijnde</i>,willen<i>de zijnde</i>,WILlende-zijnde,willende zijnde,2309,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,5298,NULL,NULL
116,αυτην,autēn,auten,ZELFDE,zelf,ZELFDE,zelf,846,P-ASF,P-ASF,P-AVE,P-AVE,833,NULL,NULL
117,παραδειγματισαι,paradeigmatisai,paradeigmatisai,LANGSBIJ-<i>te</i>-TONEN,te schande <i>te</i> maken,LANGSBIJ-te-TONEN,te schande te maken,3856,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,3862,NULL,NULL
118,εβουληθη,eboulēt<sup>h</sup>ē,eboulethe,<i>(hij)-wordt-ge</i>-RAAD,<i>(hij) wordt</i> bedoel<i>d</i>*,(hij)-wordt-ge-RAAD,(hij) wordt bedoeld*,1014,V-NNPI-3S,V-AOI-3S,W-GHPA-3E,W-Ao-Pas-Ind-3E,962,NULL,NULL
119,λαθρα,lat<sup>h</sup>ra,lathra,VERGEETachtig,heimelijk,VERGEETachtig,heimelijk,2977,ADV,ADV,BIJW,BIJW,3174,NULL,NULL
120,απολυσαι,apolusai,apolusai,VANAF-<i>te</i>-LOSsen,<i>te</i> laten gaan,VANAF-te-LOSsen,te laten gaan,630,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,608,NULL,NULL
122,ενθυμηθεντος,ent<sup>h</sup>umēt<sup>h</sup>entos,enthumethentos,<i>van</i>-IN-GEMOED-<i>ge</i>daan-<i>wordende</i>,<i>van</i> overleg<i>d wordende</i>,van-IN-GEMOED-gedaan-wordende,van overlegd wordende,1760,V-NNPP-GSM,V-AOP-GSM,W-GHPD-GME,W-Ao-Pas-Ptc-GME,1715,NULL,NULL
124,αγγελος,aggelos,aggelos,BOODSCHAPper,boodschapper,BOODSCHAPper,boodschapper,32,N-NSM,N-NSM,N-NME,N-NME,78,NULL,NULL
125,κυριου,kuriou,kuriou,<i>van</i>-KRACHTIGE,<i>van</i> heer,van-KRACHTIGE,van heer,2962,N-GSM,N-GSM,N-GME,N-GME,3151,NULL,NULL
126,κατ,kat,kat,NEER,in overeenstemming met,NEER,in overeenstemming met,2596,PREP+4,PREP,PREP,PREP,2737,NULL,NULL
127,οναρ,onar,onar,TRANCE,droomgezicht,TRANCE,droomgezicht,3677,N-OI,N-OI,N-NAN,N-NAN,3707,NULL,NULL
129,αυτω,autō,auto,<i>aan</i>-ZELFDE,<i>aan</i> zelf,aan-ZELFDE,aan zelf,846,P-DSM,P-DSM,P-DME,P-DME,833,NULL,NULL
130,λεγων,legōn,legon,VERZAMELEN<i>de-zijnde</i>,zeggen<i>de zijnde</i>,VERZAMELENde-zijnde,zeggende zijnde,3004,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,3181,NULL,NULL
131,υιος,<sup>h</sup>uios,huios,ZOON,zoon,ZOON,zoon,5207,N-NSM,N-NSM,N-NME,N-NME,2474,NULL,NULL
132,φοβηθης,p<sup>h</sup>obēt<sup>h</sup>ēs,phobethes,<i>dat-(jij)-be</i>VREES<i>d-worde</i>,<i>dat (jij) be</i>vrees<i>d worde</i>,dat-(jij)-beVREESd-worde,dat (jij) bevreesd worde,5399,V-NNPS-2S,V-AOS-2S,W-GHPV-2E,W-Ao-Pas-Con-2E,4167,NULL,NULL
133,παραλαβειν,paralabein,paralabein,LANGSBIJ-<i>te</i>-VATTEN,mee <i>te</i> nemen,LANGSBIJ-te-VATTEN,mee te nemen,3880,V-NNAN,V-2AAN,W-GHAO,W-2Ao-Act-Inf,3883,NULL,NULL
134,μαριαμ,mariam,mariam,MARIA,Miriam,MARIA,Miriam,3137,N-PRI,N-PRI,N-NAE,N-NAE,3311,NULL,NULL
135,γυναικα,gunaika,gunaika,VROUW,vrouw,VROUW,vrouw,1135,N-ASF,N-ASF,N-AVE,N-AVE,2199,NULL,NULL
136,σου,sou,sou,<i>van</i>-JIJ,<i>van</i> jij,van-JIJ,van jij,4675,P-2GS,P-2GS,P-2GE,P-2GE,4983,NULL,NULL
137,το,to,to,DE/HET,de/het,DE/HET,de/het,3588,T-NSN,T-NSN,T-NOE,T-NOE,2380,NULL,NULL
138,γαρ,gar,gar,ZEKER-DERHALVE,want,ZEKER-DERHALVE,want,1063,CONJ,CONJ,VOEG,VOEG,2122,NULL,NULL
139,αυτη,autē,aute,<i>aan</i>-ZELFDE,<i>aan</i> zelf,aan-ZELFDE,aan zelf,846,P-DSF,P-DSF,P-DVE,P-DVE,833,NULL,NULL
140,γεννηθεν,gennēt<sup>h</sup>en,gennethen,GEWORDEN-<i>wordende</i>,voort<i>ge</i>bracht <i>wordende</i>,GEWORDEN-wordende,voortgebracht wordende,1080,V-NNPP-NSN,V-APP-NSN,W-GHPD-NOE,W-Ao-Pas-Ptc-NOE,2143,NULL,NULL
142,τεξεται,tek<sup>s</sup>etai,teksetai,<i>(hij)-zal</i>-VOORTBRENGEN<i>de-zijn</i>,<i>(hij) zal</i> baren<i>de zijn</i>,zij-zal-VOORTBRENGENde-zijn,zij zal barende zijn,5088,V-FIMI-3S,V-FDI-3S,W-TOMA-3E,W-Fu-Med-Ind-3E,5372,NULL,NULL
143,υιον,<sup>h</sup>uion,huion,ZOON,zoon,ZOON,zoon,5207,N-ASM,N-ASM,N-AME,N-AME,2474,NULL,NULL
144,καλεσεις,kaleseis,kaleseis,<i>(jij)-zal</i>-ROEPen<i>de-zijn</i>,<i>(jij) zal</i> roepen<i>de zijn</i>,jij-zal-ROEPende-zijn,jij zal roepende zijn,2564,V-FIAI-2S,V-FAI-2S,W-TOAA-2E,W-Fu-Act-Ind-2E,2702,NULL,NULL
145,το,to,to,DE/HET,de/het,DE/HET,de/het,3588,T-ASN,T-ASN,T-AOE,T-AOE,2380,NULL,NULL
146,ονομα,onoma,onoma,NAAM,naam,NAAM,naam,3686,N-ASN,N-ASN,N-AOE,N-AOE,3717,NULL,NULL
147,ιησουν,iēsoun,iesoun,JAHWE+is+HULP,Jezus,JAHWE+is+HULP,Jezus,2424,N-ASM,N-ASM,N-AME,N-AME,2609,NULL,NULL
148,αυτος,autos,autos,ZELFDE,zelf,ZELFDE,zelf,846,P-NSM,P-NSM,P-NME,P-NME,833,NULL,NULL
151,λαον,laon,laon,VOLK,volk,VOLK,volk,2992,N-ASM,N-ASM,N-AME,N-AME,3171,NULL,NULL
152,των,tōn,ton,<i>van</i>-DE/HET,<i>van</i> de,van-DE/HET,van de,3588,T-GPF,T-GPF,T-GVM,T-GVM,2380,NULL,NULL
154,αυτων,autōn,auton,<i>van</i>-ZELFDE,<i>van</i> zelf,van-ZELFDE,van zelf,846,P-GPM,P-GPM,P-GMM,P-GMM,833,NULL,NULL
155,τουτο,touto,touto,DE/HET-ZELFDE,deze,DE/HET-ZELFDE,deze,5124,D-NSN,D-NSN,D-NOE,D-NOE,5404,NULL,NULL
156,ολον,<sup>h</sup>olon,holon,GEHEEL,geheel,GEHEEL,geheel,3650,A-NSN,A-NSN,A-NOE,A-NOE,2394,NULL,NULL
158,ινα,<sup>h</sup>ina,hina,(OP)DAT,opdat,(OP)DAT,opdat,2443,CONJ,CONJ,VOEG,VOEG,2371,NULL,NULL
161,ρηθεν,r<sup>h</sup>ēt<sup>h</sup>en,rhethen,<i>ge</i>GUTS<i>t-wordende</i>,uit<i>ge</i>sproken <i>wordende</i>,geGUTSt-wordende,uitgesproken wordende,4483,V-NNPP-NSN,V-APP-NSN,W-GHPD-NOE,W-Ao-Pas-Ptc-NOE,1932,NULL,NULL
162,υπο,<sup>h</sup>upo,hupo,ONDER,door,ONDER,door,5259,PREP+2,PREP,PREP,PREP,2528,NULL,NULL
163,δια,dia,dia,DOOR,door,DOOR,door,1223,PREP+2,PREP,PREP,PREP,1177,NULL,NULL
164,προφητου,prop<sup>h</sup>ētou,prophetou,VOOR-VERKLAARder,profeet,VOOR-VERKLAARder,profeet,4396,N-GSM,N-GSM,N-GME,N-GME,4483,NULL,NULL
165,λεγοντος,legontos,legontos,VERZAMELEN<i>de-zijnde</i>,zeggen<i>de zijnde</i>,VERZAMELENde-zijnde,zeggende zijnde,3004,V-NIAP-GSM,V-PAP-GSM,W-GOAD-GME,W-Pr-Act-Ptc-GME,3181,NULL,NULL
166,παρθενος,part<sup>h</sup>enos,parthenos,LANGSBIJ-gePLAATSt,maagd,LANGSBIJ-gePLAATSt,maagd,3933,N-NSF,N-NSF,N-NVE,N-NVE,3961,NULL,NULL
167,εξει,ek<sup>s</sup>ei,eksei,<i>(hij)-zal</i>-HEBBEN<i>de-zijn</i>,<i>(hij) zal</i> hebben<i>de zijn</i>,(hij)-zal-HEBBENde-zijn,(hij) zal hebbende zijn,2192,V-FIAI-3S,V-FAI-3S,W-TOAA-3E,W-Fu-Act-Ind-3E,1404,NULL,NULL
169,καλεσουσιν,kalesousin,kalesousin,<i>(zij)-zullen</i>-ROEPen<i>de-zijn</i>,<i>(zij) zullen</i> roepen<i>de zijn</i>,zij-zullen-ROEPende-zijn,zij zullen roepende zijn,2564,V-FIAI-3P,V-FAI-3P,W-TOAA-3M,W-Fu-Act-Ind-3M,2702,NULL,NULL
