id,parsing,num,syntax,vertaling,kort,opmerking
109,V-NCMP,4,{context:vt},GE_D-HAD/WAS,een vooltooid verleden tijd,"Het Grieks gebruikt het deelwoord veel vaker dan past in de vertaling, dus gebruiken we in het Nederlands, als de context in het verleden geplaatst is, het voltooid deelwoord met een verleden tijd van 'ZIJN' of 'HEBBEN'"
110,V-NNAN,3,{context:tt},_,een gewone tegenwoordige tijd,"In het Grieks wordt soms de infinitief op zo'n manier gebruikt, dat het in het Nederlands beter met een gewoon werkwoord vertaald kan worden. Als dan de context in de tegenwoordige tijd staat, dan kan de infinitief beter met een simpele tegenwoordige tijd vertaald worden."
111,V-NIMP,6,{context:doel|reden&!passief},_EN,een onbepaalde wijs,"Als de context laat zien dat het deelwoord in het Grieks wordt gebruikt om een doel of reden aan te geven, en dat de handeling niet op het onderwerp wordt uitgevoerd (niet passief), dan kunnen we dit in het Nederlands het beste weergeven met een gewone infinitief."
112,V-PNAI,2,NULL,_,een gewone tegenwoordige tijd,"Een enkele keer komt een Grieks woord in een verleden tijd voor, terwijl dit niet past bij de context of het voor het Nederlands gekozen vertaalwoord. Dan kunnen we in het Nederlands beter gewoon een tegenwoordige tijd vertalen."
113,V-FIPI,1,NULL,IK-ZAL-_,een actieve tegenwoordige tijd,"Enkele woorden in het Grieks komen altijd in het passief voor, en hebben daardoor geen echte passieve betekenis meer. In het Nederlands vertalen we zo'n vorm dan met een actieve toekomende tijd."
114,V-NNMP,1,{context:afgesloten},GE_D-HEBBEND,een voltooid deelwoord,"Als door de keuze van het vertaalwoord of de context blijkt dat de handeling is afgesloten, dan kunnen we in het Nederlands het best met een voltooid deelwoord vertalen."
115,V-NNMP,2,{role:bijv},GE_D,een bijvoeglijk gebruikt voltooid deelwoord,"Geregeld gebruikt het Grieks het deelwoord als een bijvoeglijk gebruikt voltooid deelwoord, en moet in het Nederlands deze vorm ook zo vertaald worden."
116,V-NNAP,5,{context:afgerond},HEB-GE_D,een voltooid tegenwoordige tijd,"Het Grieks gebruikt het deelwoord vaker dan in het Nederlands, zodat we in de vertaling vaak een gewoon werkwoord gebruiken. Als uit de context blijkt dat de handeling afgerond is in het verleden, en daardoor nu een feit is, drukken we dit in het Nederlands uit met een voltooid tegenwoordige tijd."
117,V-NCAP,3,{role:bijvoeglijk},GE_D,als een bijvoeglijk gebruikt voltooid deelwoord,"Als het deelwoord in het Grieks bijvoeglijk wordt gebruikt, dan vertalen we het in het Nederlands het best ook met een bijvoeglijk gebruikt voltooid deelwoord, zonder het achtervoegsel 'HEBBENDE'."
118,V-NIAN,1,{context:ACI},IK-_,als een gewone tegenwoordige of verleden tijd,"In het Grieks wordt regelmatig de onbepaalde wijs zo gebruikt dat we dat in het Nederlands het beste met een bijzin kunnen weergeven. Dan wordt de onbepaalde wijs met een gewoon werkwoord vertaald, afhankelijk van de context in de verleden of tegenwoordige tijd."
119,V-NNMN,1,{context:ACI},IK-_,als een gewone tegenwoordige tijd,In het Grieks wordt regelmatig de onbepaalde wijs zo gebruikt dat we dat in het Nederlands het beste met een bijzin kunnen weergeven. Dan wordt de onbepaalde wijs met een gewoon werkwoord vertaald.
120,V-FIPI,2,NULL,IK-ZAL-_,als een gewone toekomende tijd,"In het Grieks worden enkele werkwoorden in het passief gebruikt, terwijl het Nederlandse vertaalwoord om een actieve vertaling vraagt."
121,V-NCAP,4,NULL,GE_D,als een voltooid deelwoord,"Afhankelijk van het Nederlandse vertaalwoord, past soms het 'HEBBENDE- achtervoegsel niet in de vertaling, en wordt dan weggelaten."
122,V-RIPS,2,NULL,IK-_^c,als een gewone tegenwoordige tijd,"Afhankelijk van het vertaalwoord past het soms beter om een woord niet passief maar juist actief te vertalen, omdat in het vertaalwoord al een passieve betekenis zit, zoals bij 'je verheugen' in plaats van 'verheugd worden'."
123,V-NIMP,7,{context:passief},GE_D-WORDEND,als een passief (onvoltooid) deelwoord,"Het Grieks kent geen mediaal, dus moet uit de context worden opgemaakt wat er precies bedoelt wordt. Als dan duidelijk is dat de handeling op het onderwerp wordt uitgevoerd (passief), dan moeten we dit in de vertaling weergeven met 'WORDEN' of 'LATEN'. Het -ZIJNDE achtervoegsel uit het interlineair past niet in een Nederlandse vertaling, maar het onvoltooide karakter van de handeling wordt weergegeven door een onvoltooid deelwoord."
124,G,8,NULL,-,NULL,Geregeld verbind het Grieks twee woorden met de tweede naamval op een manier die wij niet met 'van' zouden vertalen. Dan past het beter om bijvoorbeeld 'vleselijk' in plaats van 'van vlees' te vertalen. Dan zit de tweede naamval dus in het zelfstandig naamwoord.
125,V-NCAN,2,_END,als een onvoltooid deelwoord,Een enkele keer veranderd de keuze van het vertaalwoord ook de wijze waarop het werkwoord vertaald moet worden. Zo wordt 'waarge,"Een enkele keer veranderd de keuze van het vertaalwoord ook de wijze waarop het werkwoord vertaald moet worden. Zo wordt 'waargenomen hebben' regelmatig vertaald met 'zien', zonder het achtervoegsel 'hebbend'. Als dan de infinitief gebruikt wordt om de achtergrond van de hoofdzin weer te geven, past in het Nederlands beter een onvoltooid deelwoord."
126,V-NNMI,2,{context:afgerond|!passief},IK-HEB-GE_D,als een voltooid tegenwoordige tijd,"Als de context er duidelijk op wijst dat de handeling afgerond moet zijn, en duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het soms in het Nederlands beter de vorm te vertalen met een voltooid tegenwoordige tijd."
127,V-NNMP,3,{context:afgerond&!passief},IK-HEB-GE_D,als een voltooid tegenwoordige tijd,"Het Grieks gebruikt het deelwoord vaker dan past in het Nederlands, zodat geregeld in de vertaling in plaats van een deelwoord het werkwoord in een bijzin komt te staan en als een gewoon werkwoord vertaald wordt. Als de context er duidelijk op wijst dat de handeling afgerond moet zijn, en duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het soms in het Nederlands beter de vorm te vertalen met een voltooid tegenwoordige tijd."
128,V-NNPI,3,NULL,IK-_,als een gewone tegenwoordige tijd,"Bij sommige Nederlandse trefwoorden wordt het passieve karakter ook al uitgedrukt zonder 'worden', zodat dit weggelaten kan worden, of vervangen kan worden door 'zijn'."
129,V-RIAO,0,{na:COND|*dat},IK-_,als een gewone tegenwoordige tijd,"Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de optatief weer te geven met 'moge', maar met een eenvoudige tegenwoordige tijd."
130,V-NCMP,5,{ww:state},GE_D-ZIJNDE,met 'zijnde' in plaats van 'hebbende',"Als het werkwoord in het perfectum niet een actie maar een staat uitdrukt, dan wordt dit in het Nederlands beter weergegeven met 'zijnde' i.p.v. 'hebbende'"
131,V-RCAI,2,{ww:state},IK-_,met een gewone tegenwoordige tijd,"Als het werkwoord in het perfectum niet een actie maar een staat uitdrukt, dan wordt dit bij sommige vertaalwoorden in het Nederlands beter weergegeven met een gewone tegenwoordige tijd."
132,V-NNMP,4,{context:bijzin&!passief},IK-_,een gewone tegenwoordige tijd,"Het Grieks gebruikt het deelwoord vaker dan past in het Nederlands, zodat geregeld in de vertaling in plaats van een deelwoord het werkwoord in een bijzin komt te staan en als een gewoon werkwoord vertaald wordt. Als de context er duidelijk op wijst dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het soms in het Nederlands beter de vorm te vertalen met een onvoltooid tegenwoordige tijd."
133,V-FIAS,2,{tijd:verleden},IK-ZOU-_,met het hulpwerkwoord 'zouden',"In de vertaling kunnen we 'dat' niet vertalen. Als de context wijst op een verleden tijd, dan kan de conjunctief het beste met 'zou' vertaald worden."
134,V-NIAN,2,{context:bevel|aansporing},LAAT-_ / _,als een gewone imperatief,Een enkele keer wordt de Griekse infinitief gebruikt om een bevel of aansporing te geven. Dan moeten we in het Nederlands dit ook zo vertalen.
135,V-NIPM,2,NULL,LAAT-GE_D-WORDEN,met het hulpwerkwoord 'laten',NULL
136,A,3,NULL,mee,NULL,"Een enkele keer gebruikt het Grieks de 4e naamval om een relatie tussen woorden uit te drukken, die wij met een voorzetsel moeten weergeven. Dit kan per voorkomen verschillen."
137,V-NNAP,6,{tijd:verleden},GE_D-HEBBEND,als deelwoord met 'hebbend' erachter,"Als in het Nederlands ook een deelwoord gebruikt kan worden, dan zal het participium ook zo vertaald worden. Als uit de context blijkt dat de handeling afgerond is in het verleden, en daardoor nu een feit is, drukken we dit in het Nederlands uit door het voltooid deelwoord te gebruiken met 'hebbend'."
138,V-NIMP,8,"{context:passief,woord:passief}",GE_D,een voltooid deelwoord,"Het Nederlands kent geen mediaal, dus moet uit de context worden opgemaakt wat er precies bedoelt wordt. Als dan duidelijk is dat de handeling op het onderwerp wordt uitgevoerd (passief), dan moeten we dit in de vertaling weergeven. Sommige woorden in het Nederlands hebben een passieve betekenis, zonder dat 'WORDEN' erbij gezet hoeft te worden, dan voldoet een voltooid deelwoord al. Ook gebruikt het Grieks het deelwoord vaker dan past in het Nederlands, zodat geregeld deze vorm het beste als een voltooid deelwoord vertaald kan worden."
139,V-NIMM,2,NULL,WEES-_,met 'wees',NULL
140,V-RCAI,3,{ww:state},IK-BEN-_,met het hulpwerkwoord 'zijn',"Als het werkwoord in het perfectum niet een actie maar een staat uitdrukt, dan wordt dit bij sommige vertaalwoorden in het Nederlands beter weergegeven met het hulpwerkwoord 'zijn' i.p.v. 'hebben'."
141,V-NIPP,3,{ww:passief},GE_D,"als een voltooid deelwoord, zonder 'wordend'",Sommige vertaalwoorden in het Nederlands drukken van zichzelf al uit dat het onderwerp de handeling onder gaat (passief) zodat het niet nodig is om extra 'worden' toe te voegen.
142,V-RCMI,2,{context:passief&staat},IK-BEN-GE_D,met het hulpwerkwoord 'zijn',"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling op het onderwerp is uitgevoerd (passief), maar nu een staat uitdrukt, dan kan dit in het Nederlands het beste vertaald worden met het hulpwerkwoord 'zijn' i.p.v. 'worden'."
143,V-NNPN,1,{fuctie:doel},OM-TE-_,"in de onbepaalde wijs, met toevoeging 'om'","Als de infinitief wordt gebruikt om in een bijzin de reden of het doel van de handeling in de hoofdzin aan te geven, voegen we in het Nederlands 'om' toe. Soms wordt er ook voor een vertaalwoord gekozen, dat de betekenis van het Grieks zonder 'worden' in het Nederlands weergeeft, zoals 'toevertrouwd krijgen' voor 'geloofd worden'."
144,V-RIAI,2,{tijd:verleden},_DE,met een gewone verleden tijd,"Een enkele keer wordt de Griekse tegenwoordige tijd ineens gebruikt en een tekst die verder duidelijk in het verleden afspeelt. Zo kan bijvoorbeeld extra de nadruk op een gebeurtenis gelegd worden. Omdat dit in het Nederlands niet gebruikelijk is, past het beter het met een verleden tijd te vertalen."
145,V-NNMP,5,{tijd:verleden&context:!passief},IK-_DE,met een gewone verleden tijd,"Het Grieks gebruikt het deelwoord vaker dan past in het Nederlands, zodat geregeld in de vertaling in plaats van een deelwoord het werkwoord in een bijzin komt te staan en als een gewoon werkwoord vertaald wordt. Als de context er duidelijk op wijst dat de handeling niet op het onderwerp wordt uitgevoerd (passief) en in het verleden afspeelt, dan past het soms in het Nederlands beter de vorm te vertalen met een onvoltooid tegenwoordige tijd."
146,V-FIAO,0,NULL,MAG-_,NULL,NULL
147,V-NIMN,4,{functie:doel},OM-TE-_,met de toevoeging 'om',"Als de infinitief wordt gebruikt om in een bijzin de reden of het doel van de handeling in de hoofdzin aan te geven, voegen we in het Nederlands 'om' toe."
148,V-PNPI,1,NULL,IK-WAS-GE_D,met het hulpwerkwoord 'zijn',"Afhankelijk van het vertaalwoord, past het in het Nederlands soms beter om het hulpwerkwoord 'zijn' te gebruiken."
149,V-NIPO,0,NULL,MOGE-GET-GE_D-WORDEN,als een passieve wens,NULL
150,V-NIPO,1,NULL,LAAT-HET-GE_D-WORDEN,als een passieve wens met het hulpwerkwoord 'laten',NULL
151,V-NIAN,3,{functie:doel},OM-TE-_,met de toevoeging 'om',"Als de infinitief wordt gebruikt om in een bijzin de reden of het doel van de handeling in de hoofdzin aan te geven, voegen we in het Nederlands 'om' toe."
153,V-NNPI,4,NULL,IK-_,als een gewone tegenwoordige tijd,"Sommige werkwoorden komen in het Grieks van het Nieuwe Testament alleen in het passivum voor, maar hebben geen echte passieve betekenis, en moeten in het Nederlands als actief worden vertaald."
154,G,9,NULL,-,NULL,"Soms ontstaat door de tweede naamval een constructie waarin een zelsfstandig naamwoord een extra informatie over een ander zelfstandig naamwoord geeft, wat in het Nederlands eerder met een bijvoegelijk naamwoord zouden weergeven, zoals ""hartstochten van oneer"", vertaald als ""onterende/oneervolle hartstochten"""
155,V-NCMP,6,NULL,GE_D,met een voltooid deelwoord,"Gecombineerd met het werkwoord 'zijn' is het vaak niet nodig in het Nederlands het achtervoegsel 'HEBBEN' no te vertalen, dus dan volstaat een voltooid deelwoord."
156,V-NIPP,4,NULL,GE_D,zonder het achtervoegsel 'WORDENDE',"Sommige woorden komen in het Grieks vooral in de passief voor en hebben geen actieve vorm, terwijl dit werkwoord in het Nederlands niets passiefs uit drukt, zoals 'antwoorden'. Dan kunnen we deze vorm in het Nederlands het beste actief vertalen."
157,V-PNPI,2,NULL,_DE,als gewone verleden tijd,"Sommige woorden komen in het Grieks vooral in de passief voor en hebben geen actieve vorm, terwijl dit werkwoord in het Nederlands niets passiefs uit drukt, zoals 'antwoorden'. Dan kunnen we deze vorm in het Nederlands het beste actief vertalen."
158,G,10,NULL,-lijk,NULL,"soms wordt de genitief gebruikt om een zelfstandig naamwoord als bijwoord te gebruiken, bijv. 'van het lichaam' voor 'lichamelijk'. Dan wordt de naamval het beste vertaald met '-lijk'."
