num,hebreeuws,text,BDB,pos
13,אׇבְדַן,"'obdan, <i>ob-dawn'</i>;  from ''abad' (<a class=""SR"">H6</a>); a perishing:--destruction.",1) destruction<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6</a>,n-m
14,אָבָה,"'abah, <i>aw-baw'</i>;  a primitive root; to breathe after, i.e. (figuratively) to be acquiescent:--consent, rest content will, be willing.","1) to be willing, consent<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to be willing</div><div class=""s30p"">1a2) to consent, yield to, accept</div><div class=""s30p"">1a3) to desire</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
15,אָבֶה,"'abeh, <i>aw-beh'</i>;  from ''abah' (<a class=""SR"">H14</a>); longing:--desire.","1) entreat, longing, desire<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H14</a>",n-f
16,אֵבֶה,"'ebeh, <i>ay-beh'</i>;  from ''abah' (<a class=""SR"">H14</a>) (in the sense of bending toward); the papyrus:--swift.","1) reed, papyrus<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H14</a> (in the sense of bending toward)",n-m
17,אֲבוֹי,"'abowy, <i>ab-o'ee</i>;  from ''abah' (<a class=""SR"">H14</a>) (in the sense of desiring); want:--sorrow.","1) Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)<br>Part of Speech: interjection<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H14</a> (in the sense of desiring)",inj
18,אֵבוּס,"'ebuwc, <i>ay-booce'</i>;  from ''abac' (<a class=""SR"">H75</a>); a manger or stall:--crib.","1) crib, manger, feeding trough<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H75</a>",n-m
19,אִבְחָה,"'ibchah, <i>ib-khaw'</i>;  from an unused root (apparently meaning to turn); brandishing of a sword:--point.","1) slaughter, flesh, meat, slaughtered meat<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from an unused root (apparently meaning to turn)",n-f
20,אֲבַטִּיחַ,"'abattiyach, <i>ab-at-tee'-akh</i>;  of uncertain derivation; a melon (only plural):--melon.","1) watermelon, Egyptian fruit<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: of uncertain derivation",n-m
21,אֲבִי,"'Abiy, <i>ab-ee'</i>;  from ''ab' (<a class=""SR"">H1</a>); fatherly; Abi, Hezekiah's mother:--Abi.","Abi = ""my father""<br>1) mother of Hezekiah (compare H29)<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a>",n-pr-f
22,אֲבִיאֵל,"'Abiy'el, <i>ab-ee-ale'</i>;  from ''ab' (<a class=""SR"">H1</a>) and ''el' (<a class=""SR"">H410</a>); father (i.e. possessor) of God; Abiel, the name of two Israelites:--Abiel.","Abiel = ""El (God) is (my) father""<br>1) Saul's grandfather<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H410</a>",n-pr-m
23,אֲבִיאָסָף,"'Abiy'acaph, <i>ab-ee-aw-sawf'</i>;  from ''ab' (<a class=""SR"">H1</a>) and ''acaph' (<a class=""SR"">H622</a>); father of gathering (i.e. gatherer); Abiasaph, an Israelite:--Abiasaph.","Abiasaph = ""my father has gathered""<br>1) son (descendant) of Korah<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H622</a>",n-pr-m
24,אָבִיב,"'abiyb, <i>aw-beeb'</i>;  from an unused root (meaning to be tender); green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan:--Abib, ear, green ears of corn (not maize).","1) fresh, young barley ears, barley<br>2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from an unused root (meaning to be tender)",n-m
25,אֲבִי גִבְעוֹן,"'Abiy Gib`own, <i>ab-ee' ghib-one'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'Gib`own' (<a class=""SR"">H1391</a>); father (i.e. founder) of Gibon; Abi-Gibon, perhaps an Israelite:--father of Gibeon.","Abi Gibon = ""father of Gibeon""<br>1) site of great Bamah, location of the tabernacle of the Lord in the high place<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H1391</a>",n-pr-m
26,אֲבִיגַל,"'Abiygayil, <i>ab-ee-gah'-yil</i>;  or shorter Abiygal {ab-ee-gal'}; from ''ab' (<a class=""SR"">H1</a>) and 'giyl' (<a class=""SR"">H1524</a>); father (i.e. source) of joy; Abigail or Abigal, the name of two Israelitesses:--Abigal.","Abigail = ""my father is joy""<br>1) wife of Nabal, then of David<br>2) sister of David<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H1524</a>",
27,אֲבִידָן,"'Abiydan, <i>ab-ee-dawn'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'diyn' (<a class=""SR"">H1777</a>); father of judgment (i.e. judge); Abidan, an Israelite:--Abidan.","Abidan = ""my father is judge""<br>1) a prince (ruler) of Benjamin<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H1777</a>",n-pr-m
28,אֲבִידָע,"'Abiyda`, <i>ab-ee-daw'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'yada`' (<a class=""SR"">H3045</a>); father of knowledge (i.e. knowing); Abida, a son of Abraham by Keturah:--Abida, Abidah.","Abida or Abidah = ""my father knows""<br>1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H3045</a>",n-pr-m
29,אֲבִיָּהוּ,"'Abiyah, <i>ab-ee-yaw'</i>;  or prolonged Abiyahuw {ab-ee-yaw'-hoo}; from ''ab' (<a class=""SR"">H1</a>) and 'Yahh' (<a class=""SR"">H3050</a>); father (i.e. worshipper) of Jah; Abijah, the name of several Israelite men and two Israelitesses:--Abiah, Abijah.","Abia or Abiah or Abijah = ""Jehovah is (my) father""<br>1) king of Judah, son and successor of Rehoboam<br>2) second son of Samuel<br>3) son of Jeroboam the first, king of Israel<br>4) son of Becher, a Benjamite<br>5) head of a priestly house (one of the 24 Levite groups)<br>6) head of a priestly house (after the exile)<br>7) wife of Hezron<br>8) mother of Hezekiah (compare H21)<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H3050</a>",
30,אֲבִיהוּא,"'Abiyhuw', <i>ab-ee-hoo'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'huw'' (<a class=""SR"">H1931</a>); father (i.e. worshipper) of Him (i.e. God); Abihu, a son of Aaron:--Abihu.","Abihu = ""he is (my) father""<br>1) a son of Aaron destroyed for sacrificing strange fire to God<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H1931</a>",n-pr-m
31,אֲבִיהוּד,"'Abiyhuwd, <i>ab-ee-hood'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'howd' (<a class=""SR"">H1935</a>); father (i.e. possessor) of renown; Abihud, the name of two Israelites:--Abihud.","Ahihud = ""my father is majesty""<br>1) son of Bela, a Benjamite<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H1935</a>",n-pr-m
32,אֲבִיחַיִל,"'Abiyhayil, <i>ab-ee-hah'-yil</i>;  or (more correctly) hAbiychayil {ab-ee- khah'-yil}; from ''ab' (<a class=""SR"">H1</a>) and 'chayil' (<a class=""SR"">H2428</a>); father (i.e. possessor) of might; Abihail or Abichail, the name of three Israelites and two Israelitesses:--Abihail.","Abihail = ""my father is might""<br>1) a Levite in Moses's time<br>2) a Gadite<br>3) father of Esther<br>4) wife of Abishur<br>5) wife of Rehoboam<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H2428</a>",
33,אֲבִי הָעֶזְרִי,"'Abiy ha-`Ezriy, <i>ab-ee'-haw-ez-ree'</i>;  from ''Abiy`ezer' (<a class=""SR"">H44</a>) with the article inserted; father of the Ezrite; an Abiezrite or descendant of Abiezer; -- Abiezrite.","Abiezrite = ""my father is help""<br>1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H44</a> with the article inserted",n-pr-m
34,אֶבְיוֹן,"'ebyown, <i>eb-yone'</i>;  from ''abah' (<a class=""SR"">H14</a>), in the sense of want (especially in feeling); destitute:--beggar, needy, poor (man).","1) in want, needy, chiefly poor, needy person<br>2) subject to oppression and abuse<br>3) needing help, deliverance from trouble, especially as delivered by God<br>4) general reference to lowest class<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H14</a>, in the sense of want (especially in feeling)",a-m
35,אֲבִיּוֹנָה,"'abiyownah, <i>ab-ee-yo-naw'</i>;  from ''abah' (<a class=""SR"">H14</a>); provocative of desire; the caper berry (from its stimulative taste):--desire.",1) caper-berry - of stimulating desire<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H14</a>,n-f
36,אֲבִיטוּב,"'Abiytuwb, <i>ab-ee-toob'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'tuwb' (<a class=""SR"">H2898</a>); father of goodness (i.e. good); Abitub, an Israelite:--Abitub.","Abitub = ""my father is good(ness)""<br>1) son of Shaharaim, a Benjamite<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H2898</a>",n-pr-m
37,אֲבִיטָל,"'Abiytal, <i>ab-ee-tal'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'tal' (<a class=""SR"">H2919</a>); father of dew (i.e. fresh); Abital, a wife of King David:--Abital.","Abital = ""my father is (the) dew""<br>1) a wife of David<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H2919</a>",n-pr-f
38,אֲבִיָּם,"'Abiyam, <i>ab-ee-yawm'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'yam' (<a class=""SR"">H3220</a>); father of (the) sea (i.e. seaman); Abijam (or Abijah), a king of Judah:--Abijam.","Abijam = ""my father is the sea"" or ""Yah(u) is (my) father""<br>1) king of Judah, son and successor of Rehoboam<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H3220</a>",n-pr-m
39,אֲבִימָאֵל,"'Abiyma'el, <i>ab-ee-maw-ale'</i>;  from ''ab' (<a class=""SR"">H1</a>) and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe); Abimael, a son of Joktan:--Abimael.","Abimael = ""my father is El (God)""<br>1) son of Joktan, descendant of Shem<br>Part of Speech: noun proper masculine<br>",n-pr-m
40,אֲבִימֶלֶךְ,"'Abiymelek, <i>ab-ee-mel'-ek</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'melek' (<a class=""SR"">H4428</a>); father of (the) king; Abimelek, the name of two Philistine kings and of two Israelites:--Abimelech.","Abimelech = ""Melek is father"" or ""my father is king""<br>1) king of Gerar in Abraham's time<br>2) king of Gath in David's time; maybe title of Philistine kings<br>3) son of Gideon by a concubine<br>4) priest, son of Abiathar<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H4428</a>",n-pr-m
41,אֲבִינָדָב,"'Abiynadab, <i>ab-ee-naw-dawb'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'nadab' (<a class=""SR"">H5068</a>); father of generosity (i.e. liberal); Abinadab, the name of four Israelites:--Abinadab.","Abinadab = ""my father is noble"" or ""my father is willing""<br>1) a man of Gibeah who sheltered the ark<br>2) second son of Jesse, David's older brother<br>3) a son of Saul, slain with him by the Philistines<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H5068</a>",n-pr-m
42,אֲבִינֹעַם,"'Abiyno`am, <i>ab-ee-no'-am</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'no`am' (<a class=""SR"">H5278</a>); father of pleasantness (i.e. gracious); Abinoam, an Israelite:--Abinoam.","Abinoam = ""my father is delight""<br>1) father of Barak, descendant of Naphtali<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H5278</a>",n-pr-m
43,אֶבְיָסָף,"'Ebyacaph, <i>eb-yaw-sawf'</i>;  contracted from ''Abiy'acaph' (<a class=""SR"">H23</a>); Ebjasaph, an Israelite:--Ebiasaph.","Ebiasaph = ""my father has gathered""<br>1) a son or descendant of Korah<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: contracted from <a class='SR'>H23</a>",n-pr-m
44,אֲבִיעֶזֶר,"'Abiy`ezer, <i>ab-ee-ay'-zer</i>;  from ''ab' (<a class=""SR"">H1</a>) and '`Ezer' (<a class=""SR"">H5829</a>); father of help (i.e. helpful); Abiezer, the name of two Israelites:--Abiezer.","Abiezer = ""my father is help""<br>1) a Manassite, called ""son"" of Gilead, also son of Gilead's sister<br>2) a Benjamite, warrior of David<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H5829</a>",n-pr-m
45,אֲבִי־עַלְבוֹן,"'Abiy-`albown, <i>ab-ee-al-bone'</i>;  from ''ab' (<a class=""SR"">H1</a>) and and an unused root of uncertain. derivation; probably, father of strength (i.e. valiant); Abialbon, an Israelite:--Abialbon.","Abialbon = ""El (God) is my father""<br>1) one of David's mighty men (hero)<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and an unused root of uncertain derivation",n-pr-m
46,אָבִיר,"'abiyr, <i>aw-beer'</i>;  from ''abar' (<a class=""SR"">H82</a>); mighty (spoken of God):--mighty (one).","1) strong, mighty - used only to describe God<br>2) the Strong - old name for God (poetic)<br>Part of Speech: adjective masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H82</a>",a-m
47,אַבִּיר,"'abbiyr, <i>ab-beer'</i>;  for ''abiyr' (<a class=""SR"">H46</a>); --angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.","1) mighty, valiant<br><div class=""s15p"">1a) of men</div><div class=""s15p"">1b) of angels</div><div class=""s15p"">1c) of animals</div><div class=""s15p"">1d) (metaphorically)</div><div class=""s30p"">1d1) of enemies</div><div class=""s30p"">1d2) of princes</div><div class=""s30p"">1d3) of sacrificial objects</div><div class=""s15p"">1e) obstinate (figuratively)</div>Part of Speech: adjective masculine<br>A Related Word by BDB/Strong's Number: for <a class='SR'>H46</a>",a-m
48,אֲבִירָם,"'Abiyram, <i>ab-ee-rawm'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'ruwm' (<a class=""SR"">H7311</a>); father of height (i.e. lofty); Abiram, the name of two Israelites:--Abiram.","Abiram = ""my father is exalted"" or ""(the) Exalted One is (my) father""<br>1) a Reubenite, son of Eliab in exodus<br>2) son of Hiel the Bethelite who worked to rebuild Jericho<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7311</a>",n-pr-m
49,אֲבִישַׁג,"'Abiyshag, <i>ab-ee-shag'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'shagah' (<a class=""SR"">H7686</a>); father of error (i.e. blundering); Abishag, a concubine of David:--Abishag.","Abishag = ""my father is a wanderer""<br>1) David's beautiful young nurse<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7686</a>",n-pr-f
50,אֲבִישׁוּעַ,"'Abiyshuwae, <i>ab-ee-shoo'-ah</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'showa`' (<a class=""SR"">H7771</a>); father of plenty (i.e. prosperous); Abishua, the name of two Israelites:--Abishua.","Abishua = ""my father is rescue (safety), or is opulence""<br>1) son of Phinehas, grandson of Aaron<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7771</a>",n-pr-m
51,אֲבִישׁוּר,"'Abiyshuwr, <i>ab-ee-shoor'</i>;  from ''ab' (<a class=""SR"">H1</a>) and 'shuwr' (<a class=""SR"">H7791</a>); father of (the) wall (i.e. perhaps mason); Abishur, an Israelite:--Abishur.","Abishur = ""my father is a wall""<br>1) son of Shammai, descendant of Judah<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7791</a>",n-pr-m
52,אַבְשַׁי,"'Abiyshay, <i>ab-ee-shah'ee</i>;  or (shorter) Abshay {ab-shah'ee}; from ''ab' (<a class=""SR"">H1</a>) and 'shay' (<a class=""SR"">H7862</a>); father of a gift (i.e. probably generous); Abishai, an Israelite:--Abishai.","Abishai = ""my father is Jesse"" or ""my father is a gift""<br>1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7862</a>",
53,אַבְשָׁלוֹם,"'Abiyshalowm, <i>ab-ee-shaw-lome'</i>;  or (shortened) bAbshalowm {ab-shaw- lome'}; from ''ab' (<a class=""SR"">H1</a>) and 'shalowm' (<a class=""SR"">H7965</a>); father of peace (i.e. friendly); Abshalom, a son of David; also (the fuller form) a later Israelite:--Abishalom, Absalom.","Absalom or Abishalom = ""my father is peace""<br>1) father-in-law of Rehoboam<br>2) third son of David, killer of first-born son Amnon, also leader of revolt against his father - David<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H1</a> and <a class='SR'>H7965</a>",
54,אֶבְיָתָר,"'Ebyathar, <i>ab-yaw-thawr'</i>;  contracted from ''ab' (<a class=""SR"">H1</a>) and 'yathar' (<a class=""SR"">H3498</a>); father of abundance (i.e. liberal); Ebjathar, an Israelite:--Abiathar.","Abiathar = ""my father is great""<br>1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: contracted from <a class='SR'>H1</a> and <a class='SR'>H3498</a>",n-pr-m
55,אָבַךְ,"'abak, <i>aw-bak'</i>;  a primitive root; probably to coil upward:--mount up.","1) to roll, turn<br><div class=""s15p"">1a) (Hithpael) to roll, roll up, billow</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
56,אָבַל,"'abal, <i>aw-bal'</i>;  a primitive root; to bewail:--lament, mourn.","1) to mourn, lament<br><div class=""s15p"">1a) (Qal) to mourn, lament</div><div class=""s30p"">1a1) of humans</div><div class=""s30p"">1a2) of inanimate objects (figuratively)</div><div class=""s45p"">1a2a) of gates</div><div class=""s45p"">1a2b) of land</div><div class=""s15p"">1b) (Hiphil)</div><div class=""s30p"">1b1) to mourn, cause to mourn (figuratively)</div><div class=""s15p"">1c) (Hithpael)</div><div class=""s30p"">1c1) to mourn</div><div class=""s30p"">1c2) play the mourner</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
57,אָבֵל,"'abel, <i>aw-bale'</i>;  from ''abal' (<a class=""SR"">H56</a>); lamenting:--mourn(-er, -ing).","1) mourning<br><div class=""s15p"">1a) for the dead</div><div class=""s15p"">1b) because of calamity</div><div class=""s15p"">1c) of rites of mourning</div>2) mourner (substantive)<br><div class=""s15p"">2a) for the dead</div><div class=""s15p"">2b) for calamity</div>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H56</a>",a
58,אָבֵל,"'abel, <i>aw-bale'</i>;  from an unused root (meaning to be grassy); a meadow:--plain. Compare also the proper names beginning with Abel-.","1) meadow (from verb - to grow green, to withstand)<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from an unused root (meaning to be grassy)",n-f
59,אָבֵל,"'Abel, <i>aw-bale'</i>;  from ''abel' (<a class=""SR"">H58</a>); a meadow; Abel, the name of two places in Palestine.:--Abel.",1) city in northern Israel near Bethmaachah<br>2) the place where the ark rested in the field of Joshua at Bethshemesh<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H58</a>,n-pr-loc
60,אֵבֶל,"'ebel, <i>ay'-bel</i>;  from ''abal' (<a class=""SR"">H56</a>); lamentation:--mourning.","1) mourning<br><div class=""s15p"">1a) for the dead</div><div class=""s15p"">1b) for rites of mourning (metaphorically)</div><div class=""s15p"">1c) mourning garb</div><div class=""s15p"">1d) period of mourning</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H56</a>",n-m
61,אֲבָל,"'abal, <i>ab-awl'</i>;  apparently from ''abal' (<a class=""SR"">H56</a>) through the idea of negation; nay, i.e. truly or yet:--but, indeed, nevertheless, verily.","1) truly, verily, surely<br>2) but, however, howbeit<br>3) contrariwise, nay rather (negative)<br>Part of Speech: adverb <br>A Related Word by BDB/Strong's Number: apparently from <a class='SR'>H56</a> through the idea of negation",adv
62,אָבֵל בֵּית־מֲעַכָה,"'Abel Beyth-Ma`akah, <i>aw-bale' bayth ma-a-kaw'</i>;  from ''abel' (<a class=""SR"">H58</a>) and 'bayith' (<a class=""SR"">H1004</a>) and 'Ma`akah' (<a class=""SR"">H4601</a>); meadow of Beth-Maakah; Abel of Beth-maakah, a place in Palestine:--Abel-beth-maachah, Abel of Beth-maachah,","Abel Beth Maachah = ""meadow of the house of Maachah""<br>1) city in northern Israel near Beth Maachah<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H58</a> and <a class='SR'>H1004</a> and <a class='SR'>H4601</a>",n-pr-loc
63,אָבֵל הַשִּׁטִּים,"'Abel hash-Shittiym, <i>aw-bale' hash-shit-teem'</i>;  from ''abel' (<a class=""SR"">H58</a>) and the plural of 'shittah' (<a class=""SR"">H7848</a>), with the article inserted; meadow of the acacias; Abel hash- Shittim, a place in Palestine:--Abel-shittim.","Abel Shittim = ""meadow of acacias""<br>1) place in lowlands of Moab<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H58</a> and the plural of <a class='SR'>H7848</a>, with the article inserted",n-pr-loc
