id,vid,code,aand,titel,text
509,40001010,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">10</span><br>Jehojakim (of Shallum) is weggelaten uit de lijst van koningen omdat hij Jeremia's waarschuwingen afwees, het verbond verliet, en zich naar andere goden richtte (<a class=""l"">Jer. 22:1-7</a>). In Kronieken wordt melding gemaakt van niet alleen zijn gruwelen, of afgoderij, maar van ""dat wat op hem werd gevonden"" (<a class=""l"">2Kron. 36:8</a>). Hij maakte insnijdingen of merken in zijn vlees, als tegen van zijn trouw aan andere goden (<a class=""l"">Lev. 19:28</a>). Daarom werd hem een menselijke begrafenis ontkend en werd zijn naam uitgewist uit het register van koningen (<a class=""l"">Dt. 29:18-20</a>).<br>Jechoniah's naam is ingekort tot Coniah (<a class=""l"">Jer. 22:24</a>) on te laten zien dat Jehovah Zijn steun van hem terug trok. Hij is niet ingesloten in de lijn van koningen. Geen van zijn zeven zonen (<a class=""l"">1Kron. 3:17-18</a>) volgde hem op op de troon. Aangezien niemand van zijn zaad voorspoed kan hebben, zittend op de troon van David, maar de koninklijke rechten in zijn lijn zijn, moet de Messias zijn Zoon zijn, maar niet zijn zaad.  <br><br>"
510,40001017,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">17</span><br><br>In elke groep zijn er veertien generaties. Van Abraham naar, en inclusief, David, zijn er veertien. Van David naar, en inclusief, Josia, zijn er veertien. Van Jechoniah naar, en inclusief, Christus zijn er veertien.<br>Door dit bijzondere Hebreeuwse systeem van tellen, worden de ware geestelijke waarden benadrukt. David, als de meest belangrijke voorvader, wordt twee maal geteld. Door het vervangen van een gebeurtenis in plaats van een mens voor de link tussen de tweede en derde groep, wordt Jechoniah gedegradeerd tot een plaats onder de privé personen van de derde groep. Als gevolg worden de twintig koningen van Juda verdeeld in twee groepen van tien elk, de eerste zeven waarvan worden geteld en de laatste drie uitgewist, zoals op de bijgesloten lijst.<br>Elke periode begon met een opleving en sloot in afval. Aan het einde van de eerste werd het land onderdrukt door de Filistijnen; aan het eind van de tweede was het onder de voeten van Babylon; aan het eind van de derdde was het onder het juk van de Romeinen.<br><br>1 David<br>2 Salomo<br>3 Jerobeam<br>4 Abiajah<br>5 Asaf<br>6 Josafat<br>7 Joram<br> - [Ahaziah]<br> - [Joas]<br> - [Amaziah]1 Ozias<br>2 Jotham<br>3 Achaz<br>4 Hezekiah<br>5 Manasse<br>6 Amos<br>7 Josia<br> - [Jehoahaz]<br> - [Jehoiakim]<br> - [Jechoniah]<table width=""300"" border=""0""></table><br><br>"
512,40001019,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">19</span><br><br>De wet was in een gewoon geval van dit soort erg strikt, en eiste dat de vrouw meegenomen zou worden naar de ingang van het huis van haar vader en van de mannen van haar stad werd geeist haar te stenigen tot de dood (<a class=""l"">Deut. 22:21</a>). Jozef kon zich hiertoe niet brengen en was daarom van plan van haar te scheiden, volgens de wet dat wanneer een man een vrouw had genomen en enige onreinheid aan haar vond, dan moest hij een brief van scheiding schrijven en haar wegzenden uit zijn huis (<a class=""l"">Deut. 24:1</a>). <br><br>"
513,40001023,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">23</span><br><br>In Jesaja gebruikt de profeet niet het gebruikelijke woord voor maagd, maar ""olme"", meisje (<a class=""l"">Jes. 7:14</a>). Het was niet erg aannemelijk dat het over een maagd ging toen het voor het eerst werd gebruikt in de tijd van de profeet. Maar hier, bij de juiste vervulling, verandert de geest het woord naar maagd, en dat is ook in de Septuagint het geval. <br><br>"
517,40002001,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">1-6</span><br><br>Bethlehem, het Broodhuis, kan nagetrokken worden in de familie van onze Heer tot de tijd van Boaz en Ruth (<a class=""l"">Ruth 1:1,2</a>). Hier verbleef David. Het was zo onbelangrijk dat het zelfs niet werd genoemd te midden van de steden van Juda door Jozua en Nehemia. Dit wordt gebruikt door de profeet Micah (<a class=""l"">5:2</a>) om de achtergrond te vormen voor haar toekomstige grootheid. Enige andere gebeurtenis van belang heeft hier geen plaats gevonden. Haar enige en allesoverstijgende heerlijkheid is de geboorte van de Herder van Israël. "
518,40002001,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">1</span><br><br>De magiërs vertegenwoordigen hen die leerden uit de kennis van de natuur. Alle natuur leidt de ware toegewijde naar de aanbidding van Hem Wiens handwerk het is. Vele pogingen zijn gedaan om de ster van Bethlehem te verklaren als een doodgewoon voorkomend gebeuren: een meteoor, een komeet, de samenloop van een aantal van de planeten, enz. Maar geen enkele ster kon de magiërs leiden voor een lange periode en dan zijn plaats innemen boven Bethlehem, en net niet boven Jeruzalem. Het is veel gemakkelijker te geloven dat het een buitengewone ster was, want hij verkondigde een buitengewone Baby. <br><br>"
520,40002003,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">3</span><br><br>Herodes de Grote, zoals deze koning gewoonlijk wordt genoemd, kan van Filistijnse oorsprong zijn en zijn voorouders naar Idumea zijn gebracht als krijgsgevangenen. Hij was de eerste soeverein van de Edomieten die over Judea regeerde, onder Romeinse suprematie, en begon rond 40 V.Chr. Zijn vader, Antipater, was procurator geweest van Judea toen Hyrcanus II, de Maccabeeër, koning was. Hij stierf kort na deze gebeurtenissen. Hij ontving zijn koninkrijk van Antonius en de Romeinse Senaat. Na de val van Antonius vond hij gunst bij keizer Augustus. Zijn daden vertellen ons dat hij vreesde voor zijn troon wanneer de Messias zou komen. Hierin stond hij in schril contrast met de Maccabeese dynastie die hij verving. Zij namen het koninklijk gezag met de nadrukkelijke reservering van de rechten van de Messias (1Macc. <a class=""l"">14:41</a>). Hij vermoordde hulpeloze kinderen in een nutteloze poging de Messias te vermoorden."
521,40002007,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">7</span><br><br>Het is duidelijk, gezien de bezorgdheid van Herodes om de preciese tijd te krijgen toen de ster voor het eerst verscheen, en zijn opdracht om alle babies under de twee jaar te doden, dat de magiërs Bethlehem niet bezochten toen Jezus geboren werd, maar lang daarna. Hij is nu een kleine Jongen en Herodes acht het niet veilig enig kind onder de twee jaar te laten leven. Het is waarschijnlijk dat zij de ster in het oosten zagen tijdens zijn geboorte, en, na enige tijd van voorbereiding, hun langzame reis naar Judea ondernamen. <br><br>"
522,40002012,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">12</span><br><br>Er is een opmerkelijke tegenstelling tussen de aanbiddende bewondering van de magiërs en het wrede gedrag van Zijn eigen volk. De priesters en Schriftgeleerden en bevolking zouden moeten jubelen bij Zijn komst, maar ze zijn verstoord en niet op hun gemak. De priesters zouden Hem aanbeden moeten hebben, maar zij wilden niet de reis van twee uren ondernemen om Hem te zien. De magiërs reisden maandenlang en brachten Hem geschenken. De Schriftgeleerden wisten waar Hij was geboren, maar niemand ging er heen. Het volk volgde hun leiders. Die van Hem waren ontvingen Hem niet!<br><br>"
523,40002013,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">13</span><br><br>De khan in Bethlehem was het begingpunt voor de caravanen naar Egypte. Dat was ook het geval in de dagen van Jeremia, die met Chimham overnachtte in Bethlehem op zijn weg naar Egypte (<a class=""l"">Jer. 41:17</a>). En in zijn tijd gingen vele Joden af naar Egypte, zodat daar grote Joodse kolonies waren waarheen Jozef kon gaan tijdens zijn verbanning. Hier zou het ware Beeld van God de eerste onderwerpen vinden om Zijn opkomende intelligentie te toetsen, en deze waren waarschijnlijk de valse beelden en gigantische tempels van hun afgodendienst. Hier was het centrum van de wijsheid van de wereld, maar we lezen niet dan iemand van de wijze mannen Hem herkenden in Wie alle schatten van wijsheid en kennis zijn verborgen (<a class=""l"">Kol. 2:3</a>). Maar hier ook was het huis van de Septuagint, de Griekse versie van de heilige rollen die Hij gebruikte in Zijn bediening. Van hier, net als de natie voor Hem, werd Hij geroepen uit Egypte (<a class=""l"">Hos. 11:1</a>). <br><br>"
524,40002018,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">18</span><br><br>De naam ""Rama"" was een gebruikelijke voor een plaats op een heuvel. Er was waarschijnlijk zo'n plaats in de buurt van Bethlehem, bij de tombe van Rachel, die verdrietig stierf (<a class=""l"">Gen. 35:18-20</a>). Er is een prachtige verbinding tussen haar verdriet en dat van de bedroefde moeders van wie de kinderen door Herodes werden gedood. <br><br>"
526,40002023,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">23</span><br><br><span class=""bijbel"">""Hij zal Nazarener genoemd worden""</span> was gesproken profetie. Er is geen reden te geloven dat het geschreven was of te vinden is in de Hebreeuwse Schrift. Veel dat door de profeten was gesproken, was nooit aan het papier toevertrouwd, maar door traditie bewaard. <br><br>"
532,40003003,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">3</span><br><br>De armzalige wegen in het oosten werden zelden gerepareerd, tenzij als voorbereiding voor de een of andere Koninklijke bezoeker. Als men de boeren bezig zag met het verwijderen van de stenen en het recht maken van de weg en het gelijk maken van ruwe plaatsen, dan was dat een zeker teken dat de een of andere hooggeplaatste werd verwacht. Johannes de Doper was de aankondiger van de Koning, die Zijn onderdanen opriep het pad voor Hem klaar te maken (<a class=""l"">Jes. 40:3</a>)"
534,40003004,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">4</span><br><br>Er is geen reden waarom we dit niet letterlijk zouden nemen. De Arabieren van die regionen voeden zich nog steeds met sprinkhanen. De Amerikaanse Indianen van de westelijke woestijnen staan er om bekend dat ze weken lang alleen van sprinkhanen leefden. Het insect behoorde onder die welke de Jood wettelijk was toegestaan om te eten (<a class=""l"">Lev. 11:22</a>). De monniken van de donkere middeleeuwen vonden dit ondenkbaar, en daarom plantten ze sprinkhanenbomen bij de grot in de woestijn waar men dacht dat Johannes' huis was. De Carob is ook in deze regio te vinden en pelgrims hebben hem de naam ""Johannesbroodboom"" gegeven, om hem zo te beschermen tegen de stelling dat hij insecten at."
535,40003006,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">6</span><br><br>De doop, of ceremoniële wassing, was een erkende rite in het Joodse  ritueel. Het werd gewoonlijk door de persoon zelf voltrokken. Aangezien Mozes Aäron en diens zonen inwijdde (<a class=""l"">Exo. 29:4</a>) deed niemand het voor een ander. De priesters wasten zichzelf bij het wasvat (<a class=""l"">Exo. 40:31</a>). Bevuilde kleding moest door de man zelf gewassen worden (<a class=""l"">Lev. 11:40</a>). Naäm onderdompelde zichzelf in de Jordaan (<a class=""l"">2Kon. 5:14</a>). Maar omdat Johannes het dopen deed, werd hij ""De Doper"" genoemd."
536,40003007,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">7</span><br><br>Johannes kwam in de geest en kracht van Elia (<a class=""l"">Matt. 11:14</a>; <a class=""l"">Luc. 1:17</a>). De oppervlakkige ceremonie, zonder de bijhorende toestand van het hart, was een belediging tegen zijn geest. Hij walgde van hypocrisie. Daarom weigerde hij de religieuze zeloten te dopen van wie de levens niet in overeenstemming waren met hun beroep. Alleen echt berouw kon er voor zorgen dat zij voorbereid werden voor de Komende. Water kon slechts de innerlijke reiniging symboliseren. Het was er geen vervanging voor."
537,40003011,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">11</span><br><br>Er zijn hier drie dopen: water, geest en vuur. Johannes gebruikte alleen water. Deze methode werd voortgezet tijdens de bediening van onze Heer. Maar na Zijn opstanding vertelde Hij hen: Johannes doopt wel met water, maar jullie zullen heilig gedoopt worden in geest, niet na vele van deze dagen  (<a class=""l"">Hand. 1:5</a>).  Vanaf Pinksteren worden er twee dopen benut.  In het begin ontvingen zij die gedoopt werden in water ook de doop van de geest. Cornelius ontving de geest al voordat hij in water werd gedoopt (<a class=""l"">Hand. 10:44-48</a>). Nu is er slechts één doop (<a class=""l"">Efe. 4:5</a>). We worden allen in één geest gedoopt in één lichaam (<a class=""l"">1Kor. 12:13</a>). Het is voor reiniging, niet voor kracht."
538,40003012,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">12</span><br><br>De doop met vuur is het verbranden van het kaf. Dat was de enige doop die de Farizeeën en de Sadduceeën verdienden. Hen die Hij niet doopt in heilige geest, zal Hij dopen in vuur, in oordeel. Dit alles is aionisch, en bepaalt niet hun uiteindelijke bestemming, nadat de aionen voorbij zijn gegaan."
539,40003013,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">13</span><br><br>De Heer had geen reiniging nodig, want Hij had geen zonde. Maar het was nodig dat Hij Zich identificeerde met hen die gereinigd werden. Het was een vooruitblik op Zijn doop op Golgotha, toen Hij zonde werd ten behoeve van de Zijnen."
540,40003016,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">16</span><br><br>Aangezien God's Geest geen materiële vorm heeft, wordt deze voor ons op verschillende manier uitgebeeld, die de kracht en het belang er van laten zien. Het wordt gewoonlijk gepresenteerd als een stoot lucht, want dit is de primaire betekenis van het woord ""pneuma"" of geest (<a class=""l"">Joh. 3:8</a>; <a class=""l"">Hand. 2:2</a>; <a class=""l"">Hebr. 1:7</a>). Andere geesten worden voorgesteld als toortsen (<a class=""l"">Openb. 4:5</a>) en als hoornen of ogen (<a class=""l"">Openb. 5:6</a>), om hun krachten en waarnemingsvermogen aan te duiden. Onreine geesten worden uitgebeeld als kikkers (<a class=""l"">Openb. 16:13</a>). Het uitgelezen voorbeeld dat aan de geestelijke Israëliet wordt gepresenteerd door de neerdalende duif, gaat voor ons grotendeels verloren. Onze Heer Zelf prees hun ongekunsteldheid aan ter nastreving door Zijn discipelen. Maar er lag ongetwijfeld een diepere gedachte in het algemene gebruik als offer, speciaal door de armen. Toen Hij aan de Heer werd voorgesteld, offerden zij twee paar duiven (<a class=""l"">Luc. 2:24</a>). De Geest van God bekrachtigt Hem met kracht voor de verkondiging van het koninkrijk, niet door Hem te presenteren met een zwaard en een scepter, niet door Hem op een wit paard te zetten of Hem te kronen met een diadeem, maar door aan Hem de veel meer goddelijke krachten te geven van zachtmoedigheid, ongekunsteldheid en offer."
543,40004001,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">1</span><br><br>Indien Christus de koning van Israël is, moet Hij niet alleen de tegenstand van mensen overwinnen, maar bovenal moet Hij de geest overmeesteren die in hen werkt en de duisternis van deze wereld beheerst. Christus kwam om anderen te redden, niet om Zichzelf een genoegen te doen. Hij weigert Zijn kracht te gebruiken om voedsel voor Zichzelf te regelen, maar is alleen van God afhankelijk. Hij wil niet tot het uiterste gaan om te zien of God een wonder zal verrichten om Hem te redden. Ook wil Hij niet het lijden en de schande uit de weg gaan die liggen tussen hem en het koninkrijk, door dit uit de hand van de Lasteraar aan te nemen. De Duif ontmoet de Slang in de wildernis en overwint die. Totale afhankelijkheid van God's voorzienigheid, absoluut vertrouwen in Zijn woorden en wegen, en de meest volkomen trouw in Zijn liefde, zijn meer dan wat de Lasteraar kan geven."
546,40004008,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">8</span><br><br>Satan is duidelijk het echte hoofd van het vierde koninkrijk van Daniël's beeld. Het heersgebied van Rome was beperkt."
547,40004012,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">12</span><br><br>Het is niet waarschijnlijk dat Johannes op dit moment ""in de gevangenis werd geworpen"". De Heer had nog niet Zijn discipelen geroepen en Johannes was nog niet in de gevangenis geworpen (<a class=""l"">Joh. 3:24</a>). Dat gebeurde enige tijd later.  Er zijn verschillende pogingen gedaan hem min bewaring te nemen. Dit is waarschijnlijk de eerste van deze. Daarom verliet de Heer Judea en verbleef het merendeel van Zijn bediening in Galilea. In Johannes, Zijn boodschapper, werd Hij in Judea afgewezen, nog voor Hij Zijn verkondiging begon."
549,40004015,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">15</span><br><br>Nazareth, Kana, en het omliggende gebied, waar de Heer Zijn bediening begon, waren in Zebulon. Dit lag niet aan het meer van Galilea, maar grensde aan Naftali in  het noord-oosten, waar Kapernaüm was, ""Zijn eigen stad"", net als Chorazin en Bethsaida, waar zo vele van Zijn machtige werken werden gedaan."
