id,vid,tekst,type
121,48001010,"<div><a class=""l"">1Thes 2:4</a>;&nbsp;</div><div>Bij de Korintiërs was het toch nodig, vanwege hun wantrouwen, hen te overtuigen en zichzelf aan te bevelen, zie <a class=""l"">2Kor 3:1</a>; <a class=""l"">4:2</a>; <a class=""l"">6:4</a>; <a class=""l"">10:12</a>; <a class=""l"">12:11</a>;</div><div>Maar, alleen het oordeel van God telt – <a class=""l"">1Kor 4:3-5</a>; <a class=""l"">2Kor 10:18</a>;</div>",5
15,48001007,"<div><a class=""l"">2:4</a>; <a class=""l"">3:1</a>; <a class=""l"">Hand 15:1</a>; <a class=""l"">2Cor 11:4</a>;</div>",5
14,48001007,"<div><b>sommigen die jullie verwarren</b> – Eerder waren er al 'binnengesmokkelde valse broeders' die leerden dat je alleen gered zou worden als je de wet zou houden (<a class=""l"">2:4</a>; <a class=""l"">Hand 15:1</a>). Nu lijken ze opnieuw in verwarring gebracht te worden met een subtielere leugen. Nu hangt de redding er niet meer van af, maar wordt je geperfectioneerd door alsnog wetten te houden en je te laten besnijden (<a class=""l"">3:1-5</a>).</div>",4
16,48001007,<div><b>omdraaien</b> – Of: veranderen.</div>,1
17,48001008,"<div><b>wij of een boodschapper uit de hemel</b> – Al zou je hierin een waarschuwing tegen zogenaamde latere toevoegingen aan de Bijbel door engelen kunnen lezen, zoals bij de Mormonen of de Islam, wat Paulus hier in eerste instantie wil benadrukken is de autoriteit van zijn evangelie. Het is in opdracht van God aan hen verkondigd, dus maakt niet uit wie, als iemand daar tegen in gaat, zelfs als het een engel uit de hemel is, dan gaat hij tegen Gods opdracht in en tegen de boodschap die God aan Paulus gaf.</div>",6
18,48001008,"<div><b>jullie een evangelie verkondigen</b> – In het vers lezen we driemaal 'jullie'. Paulus had er geen moeite mee als de apostelen aan de besnedenen een ander evangelie, het evangelie van de besnijdenis, zouden brengen, maar zijn evangelie zou hetgeen zijn dat naar de natiën werd gebracht. Deze afspraak had hij met hen gemaakt (<a class=""l"">2:7</a>). Hij verzet zich er dan ook hevig tegen als een ander evangelie dan de <a class=""mw"">genade</a> die hij bracht aan de natiën gebracht zou worden.</div>",4
19,48001008,"<div><b>als evangelie verkondigen</b> – Of: verkondigd hebben. De werkwoordsvorm geeft slechts het feit weer. Als Paulus hier vooral wijst naar het historische feit dat zij hen eens een bepaald evangelie verkondigd hebben, dan is 'verkondigd hebben' meer op zijn plaats. Als het meer gaat om de boodschap die zij verkondigen, zonder een bepaald moment in gedachten te hebben, dan is de huidige vertaling beter.</div>",1
20,48001008,"<div><b>in de ban</b> – Het Griekse woord voor ban, <a class=""ghw"" name=""G_l_353""><span class=""ncv-GH""><span class=""translit"">anathema</span><span class=""Greek"">αναθεμα</span></span></a>, betekende oorspronkelijk vooral dat iets toegewijd was, meestal aan een god. Het Hebreeuwse woord dat het vaak vertaald in de Septuagint, <span class=""Hebrew"">חרם</span> (cherem), wordt ook wel gebruikt voor dingen die toegewijd zijn aan de dienst van God, maar vaker heeft het een negatieve betekenis: iets onder een banvloek leggen, toewijden aan vernietiging etc.</div>",0
21,48001009,"<div><b>iemand</b> – Nu hij voor een tweede keer een banvloek uitspreekt, verbreedt hij het. Nu vallen niet alleen zij zelf of een engel eronder, maar eenieder die een ander evangelie verkondigt. Daarmee sluit hij dus ook de valse leraren in die de <a class=""mw"">gemeente</a> binnen waren gekomen om hen te misleiden.</div>",3
22,48001010,"<div><b>overtuig ik nu mensen of God</b> – Met 'overtuigen' bedoelt Paulus niet het overtuigen met de boodschap, maar door zijn daden te overtuigen, of, zoals de parallel in het tweede deel van dit vers zegt: is hij er op uit mensen te behagen (of God)? Werkt hij voor God of voor mensen? Is hij een slaaf van Christus of van mensen?</div>",0
23,48001011,"<div><b>het is niet naar de mens</b> – Hierna voert Paulus redenen aan om de autoriteit van zijn evangelie te bevestigen. Hij heeft het niet van mensen ontvangen, ook niet van de twaalf apostelen (<a class=""l"">1:17</a>), maar van Christus (<a class=""l"">1:12</a>). Hij maakt in de rest van de brief ook duidelijk dat hij niet het evangelie van de besnijdenis bracht, want dat werd blijkbaar over hem gezegd (<a class=""l"">5:11</a>). Maar als hij dat deed, waarom ontving hij zijn evangelie dan niet van de apostelen zelf? Waarom moest hij afgescheiden worden in Antiochië (<a class=""l"">Hand 13:1,2</a>) en werd hij vervolgd door de gelovige Joden om zijn boodschap?</div>",4
24,48001012,"<div><b>onthulling van Jezus Christus</b> – In <a class=""l"">1:16</a> lezen we wat Paulus hier bedoelt. God achtte het goed Zijn Zoon in hem te onthullen.</div>",4
25,48001013,"<div><b>in het Judaïsme</b> – Met 'Judaïsme' verwijst Paulus naar de religie en gebruiken van de Joden, het leven en denken als een Jood. Dit komt ook later terug in de brief, als hij Petrus ervan beschuldigt de natiën te dwingen als Jood te leven (<a class=""l"">2:14</a>) of spreekt over de 'werken van de wet' (<a class=""l"">2:16</a>), waardoor sommige Joden dachten gered te kunnen worden.</div>",2
26,48001013,"<div><b>vervolgde en haar verwoestte</b> – Hier worden in het Grieks werkwoordsvormen gebruikt die nadruk leggen op het voortgaan van de handeling. Paulus heeft het niet over een enkele keer, maar heeft langere tijd de <a class=""mw"">gemeenten</a> vervolgt en was haar aan het verwoesten. Een aorist, een werkwoordsvorm die op een feit duidt, zou juist betekend hebben dat Paulus de <a class=""mw"">gemeente</a> daadwerkelijk helemaal verwoest zou hebben.</div>",0
27,48001013,"<div><b>vervolgde en haar verwoestte</b> – <a class=""l"">Hand 9:3</a>; <a class=""l"">1Kor 15:9</a>; <a class=""l"">Fil 3:6</a>.</div>",5
28,48001014,"<div><b>ik bracht het verder</b> – Paulus wist alles van het Judaïsme, en had een opleiding gehad bij één van de voornaamste rabbi's uit die tijd, Gamaliël (<a class=""l"">Hand 22:3</a>; <a class=""l"">26:5</a>). Hij had eens met meer overtuiging en vuur zijn tradities verdedigd dan zijn tegenstanders nu deden in hun aanval op zijn evangelie. Dit had voor Paulus reden kunnen zijn te roemen, maar beschouwde het uiteindelijk afval (<a class=""l"">Fil 3:4-7</a>).</div>",2
29,48001014,"<div><b>ijveraar was voor de overleveringen van mijn vaderen</b> – Het woord 'ijveraar' is een ander belangrijk woord dat de bereidheid en toewijding van de Joden omschreef, of waarmee Elia en de Makkabeeën omschreven werden toen zij het <a class=""mw"">geloof</a> wilden beschermen tegen heidense invloeden die het Joodse <a class=""mw"">geloof</a> bedreigden. Zo beschouwde Paulus ook het <a class=""mw"">geloof</a> van de Christenen die hij vervolgde als een gevaar voor zijn tradities, en was zeer toegewijd en bereid hen daarvoor te vervolgen en te verwoesten.</div>",2
30,48001015,"<b>afzonderde vanaf de schoot van mijn moeder</b><span><span class=""Apple-converted-space"">&nbsp;</span>– Vergelijk<span class=""Apple-converted-space"">&nbsp;</span></span><a class=""l"">Jes 49:1,5</a><span>;<span class=""Apple-converted-space"">&nbsp;</span></span><a class=""l"">Jer 1:5</a><span>;<span class=""Apple-converted-space"">&nbsp;</span></span><a class=""l"">Luk 1:15</a><span>;</span>",5
31,48001016,"<div><b>opdat ik Hem als evangelie verkondig onder de natiën</b> – <a class=""l"">Hand 22:21</a>; <a class=""l"">1Tim 2:7</a>; <a class=""l"">2Tim 1:11</a>;</div>",5
32,48001016,"<div><b>aan vlees en bloed</b> – Opnieuw benadrukt Paulus niet te rade te zijn gegaan bij mensen, want hij had het niet van een mens en werd er ook niet door mensen in onderwezen, maar ontving het als onthulling van Jezus Christus (<a class=""l"">1:12</a>). Vergelijk <a class=""l"">Mat 16:17</a>.</div>",3
33,48001017,"<div><b>naar hen die voor mij apostelen waren</b> – Als Paulus geroepen zou zijn hetzelfde evangelie als de apostelen te verkondigen, en niet zijn eigen evangelie, dan was het enige logische om te doen na zijn bekering het gaan naar Jeruzalem om de apostelen om goedkeuring te vragen of te delen in hun opdracht. In plaats daarvan ging hij naar de woestijn van Arabië, en vertelde pas na drie jaar iets aan Petrus, en maakte toen niet eens kennis met de andere apostelen of de <a class=""mw"">gemeente</a> daar. Ze kenden hem niet persoonlijk, maar dankten God voor zijn ommekeer (<a class=""l"">1:18-24</a>). Dit alles onderstreept het feit dat Paulus zijn boodschap niet van hen heeft overgenomen (<a class=""l"">1:12</a>).</div>",3
34,48001017,"<div><b>naar Arabië</b> – Arabië doelde in de tijd van Paulus op een gebied dat ten oosten en zuiden van Syrië en Israël ligt, dus het gebied in het zuidoosten van Damascus, waar de Nabateeërs zaten, tot en met het gebied ten zuiden van Israel, waar de berg Sinaï gelegen heeft (<a class=""l"">4:25</a>).</div>",2
35,48001018,"<div><b>kwam ik</b> – Letterlijk staat er: 'naar boven gaan/komen'. Jeruzalem ligt op enige hoogte, zodat je vanuit de omringende streken altijd omhoog gaat naar de stad. In <a class=""l"">2:1</a> wordt een verwant woord gebruikt: bestijgen/opgaan.</div>",0
36,48001018,"<div><b>na drie jaar naar Jeruzalem</b> – Pas drie jaar later, nadat hij al het evangelie verkondigd had in diverse plaatsen, kwam hij naar Jeruzalem. Hij kwam niet om onderwezen te worden, maar om Petrus verslag te doen. Ook was zijn periode bij Petrus slechts kort, zodat verder wordt uitgesloten dat hij zijn boodschap van hem zou hebben ontvangen. </div>",3
37,48001019,"<div><b>buiten Jakobus</b> – Verder had hij ook geen contact met de andere apostelen, alleen met Jakobus, de broer van Jezus. Dit kan relevant zijn omdat Jakobus steeds meer aanzien kreeg, zodat zelfs Petrus zijn gedrag veranderde (<a class=""l"">Gal 2:7,12</a>). Paulus geeft aan hem ontmoet te hebben, maar dat hij dus geen meningsverschil met hem had of aan hem ondergeschikt was.</div>",3
38,48001020,"<div><b>ik lieg niet</b> – Wat voor ons gewoon een korte samenvatting van Paulus' bediening lijkt, is van zo'n groot belang voor de argumentatie van Paulus over de autoriteit van zijn apostelschap en zijn evangelie, dat hij extra benadrukt dat hij niet liegt, en zelfs God als getuige erbij betrekt.</div>",3
39,48001021,"<div><b>Vervolgens kwam ik in de gebieden van Syrië en Cilicië</b> – Dit is een samenvatting van wat in <a class=""l"">Hand 9:19-25</a> en <a class=""l"">2Kor 11:32-33</a> uitgebreider beschreven staat.</div>",5
40,48001022,"<div><b>Ik was echter onbekend van aangezicht</b> – Hij had de gemeente in Jeruzalem verder niet ontmoet, en handelde dus ook niet vanuit hen. Hiermee benadrukt hij opnieuw los van de <a class=""mw"">gemeente</a> in Jeruzalem te werken.</div>",3
41,48001023,"<div><b>vervolgde ... verwoestte</b> – Hier worden dezelfde werkwoordsvormen als in <a class=""l"">1:13</a> gebruikt, zie de voetnoten bij: <a class=""dl"" name=""VOETNOTEN_48001013"">Gal 1:13</a>.</div>",0
42,48001024,<div><b>in mij</b> – Dat is: voor of door wat in Paulus gebeurt is.</div>,0
43,48002001,"<div><b>ging ik na verloop van veertien jaar weer op naar Jeruzalem</b> – De vraag hier is welk bezoek aan Jeruzalem Paulus naar refereert. Sommigen wijzen naar <a class=""l"">Hand 11:29-30</a>, waar Barnabas en Paulus noodhulp naar Jeruzalem brengen. Dat bezoek had echter een hele andere aanleiding dan hier beschreven, want we lezen er niet dat ze Jeruzalem daadwerkelijk in zijn geweest of de broeders hebben bezocht, of dat er discussie was over het evangelie van Paulus. Ook lijkt de tijd van 14 jaar niet goed overeen te komen met de gebeurtenissen in Handelingen 11. Een ander bezoek dat beter bij de omschrijving hier lijkt te passen is die van Hand 15. Daar wordt inderdaad het evangelie van Paulus besproken en is er sprake van valse broeders (<a class=""l"">Hand 15:1</a>).</div>",4
44,48002001,"<div><b>ging ik ... weer op</b> – Zie voetnoot bij: <a class=""dl"" name=""VOETNOTEN_48001018"">Gal 1:18</a>.</div>",0
45,48002001,"<div><b>naar Jeruzalem</b> – Het volgende bezoek van Paulus aan Jeruzalem gaf de gelegenheid om de verschillen tussen de bediening van Paulus en die van de apostelen te onderstrepen en hun officiële goedkeuring te krijgen. Als Hand 15 inderdaad deze ontmoeting nader omschrijft, werd de gelegenheid geschapen door de besnijdenis zelf. Zij kwamen en verkondigden dat besnijdenis en het houden van de wet ook noodzakelijk waren om gered te worden, en na de oproer die veroorzaakt werd door de discussie werden Barnabas en Paulus naar Jeruzalem gezonden om de kwestie voor te leggen aan de apostelen (<a class=""l"">Hand 15:1,2</a>).</div>",3
46,48002001,"<div><b>met Barnabas</b> – Barnabas nam in eerste instantie Paulus bij de hand toen hij na zijn bekering voor het eerst in Jeruzalem kwam (<a class=""l"">Hand 9:27</a>), maar is op latere reizen zijn metgezel (<a class=""l"">Hand 11:24-26,30</a>; <a class=""l"">12:25</a>).</div>",4
47,48002001,"<div><b>en nam ook Titus met mij mee</b> – Titus wordt alleen door Paulus genoemd, en komt niet in een van de verhalen van Handelingen voor. Hij nam Titus mee, zo blijkt uit vers 3, als test.</div>",4
48,48002002,"<div><b>in overeenstemming met een onthulling</b> – Dit detail komt niet voor in de beschrijving van het bezoek in Hand 15, daar is de aanleiding om te gaan juist de oproer door valse broeders, waarna Paulus en Barnabas gezonden worden. In <a class=""l"">Hand 11:28</a> lezen we juist wel over een onthulling voordat Paulus de noodhulp met Barnabas naar Jeruzalem brengt. Het is echter niet uitgesloten dat, hoewel niet beschreven, Paulus na de oproer in Hand 15 werd gezonden op basis van een onthulling. Hetzelfde woord, onthulling, kwamen we trouwens al tegen in <a class=""l"">Gal 1:12</a>.</div>",4
49,48002002,"<div><b>in overeenstemming met een onthulling</b> – Voor Paulus' betoog laat dit detail zien dat hij niet op uitnodiging van de apostelen is gekomen, of door hun ontboden is, of met hun een conflict had dat opgelost moest worden, maar op eigen gelegenheid naar hen toe gekomen is.</div>",3
50,48002002,"<div><b>hen die in aanzien zijn</b> - Jakobus en Kefas en Johannes, zie <a class=""l"">2:9</a>.</div>",4
51,48002002,"<div><b>tevergeefs zou rennen of gelopen heb</b> – Paulus gebruikt vaker het beeld van een atletische hardloopwedstrijd voor het werk dat we voor de Heer mogen doen. In <a class=""l"">Fil 3:12-14</a> wordt ons leven in de praktijk met een wedstrijd in de renbaan vergeleken, en in <a class=""l"">Gal 5:7</a> spreekt hij in hetzelfde beeld de Galaten aan.</div>",4
52,48002002,"<div><b>tevergeefs zou rennen of gelopen heb</b> – <a class=""l"">5:7</a>; <a class=""l"">Fil 2:16</a>; <a class=""l"">3:12-14</a>; <a class=""l"">2Tim 4:7</a>; Zie ook <a class=""l"">1Kor 15:10</a>;&nbsp;<a class=""l"">1Thes 3:5</a>;</div>",5
53,48002003,"<div><b>zelfs Titus die met mij was en Griek is werd niet genoodzaakt besneden te worden</b> – Titus was meegenomen als een test. Zou een Griek opgenomen worden in de Joodse gemeenschap en als gelijkwaardig worden gezien, of zou hij genoodzaakt worden besneden te worden en de Joods gewoonten en de wet te volgen? Titus was het levende bewijs van de erkenning van de apostelen van Paulus' boodschap.</div>",3
54,48002003,"<div><b>besneden te worden </b>– In een ander geval werd Timotheüs wel door Paulus besneden, zodat de Joden er geen aanstoot aan zouden nemen (<a class=""l"">Hand 16:3</a>).</div>",4
55,48002004,"<div><b>binnengesmokkelde valse broeders ... om onze vrijheid te bespieden</b> – Enkelen waren vanuit Jeruzalem gekomen en hadden de bedoeling Paulus' boodschap tegen te werken en de vrijheid die ze hadden – het vrij zijn van de wet, de <a class=""mw"">genade</a> – weg te nemen en ze weer onder de wet te plaatsen. Het houden van de wet lijkt later een kenmerk te zijn geworden van gelovige Joden om hun toewijding te laten zien (<a class=""l"">Hand 21:20</a>).</div>",4
56,48002004,"<div><b>binnengesmokkelde valse broeders</b> – <a class=""l"">2Kor 11:13</a>;</div><div><b>om onze vrijheid te bespieden ... opdat zij ons tot slavernij zouden brengen</b> – <a class=""l"">5:1</a>; <a class=""l"">Hand 15:1</a>;</div>",5
57,48002004,"<div><b>slavernij</b> – Slavernij was gewoon in de Grieks-Romeinse wereld. Slaven waren het eigendom van hun meesters en hadden geen rechten of vrijheden. Sommigen konden echter vrijgelaten of vrijgekocht worden en zo vrije mensen worden (zie <a class=""l"">1Kor 7:20-24</a>). Dit beeld gebruikt Paulus om aan te geven wat het betekent om onder de wet te leven, terwijl leven zonder wet uit <a class=""mw"">genade</a> juist als vrijheid omschreven wordt.</div>",2
58,48002005,"<div><b>lieten wij het voor hen geen moment laten lijken op onderschikking</b> – Paulus moet door de valse broeders onder druk zijn gezet om in te binden en te gehoorzamen, zie ook het woord 'genoodzaakt' in <a class=""l"">2:3</a>, maar hij hield stand om de waarheid van het evangelie te bewaren. Zie ook <a class=""l"">2:15</a>.</div>",3
59,48002005,"<div><b>de waarheid van het evangelie</b> – In deze brief is de waarheid van het evangelie het feit dat <a class=""mw"">rechtvaardigheid</a> uit Gods <a class=""mw"">genade</a> is (<a class=""l"">2:21</a>), door het <a class=""mw"">geloof</a>, en wel het <a class=""mw"">geloof</a> van Christus (<a class=""l"">2:16</a>; <a class=""l"">3:22</a>), zonder besneden te hoeven worden (<a class=""l"">5:2-3</a>) of de wet van Mozes te moeten volgen (<a class=""l"">2:16</a>; <a class=""l"">5:4</a>). Zie ook <a class=""l"">Rom 3:21-24</a>.</div>",4
60,48002006,"<div><b>die van enig aanzien zijn</b> – Jakobus en Kefas en Johannes, zie <a class=""l"">2:9</a>.</div>",4
61,48002006,"<div><b>voor mij van geen belang, God hecht niet aan menselijk voorkomen</b> – Paulus hecht geen waarde aan het aanzien dat de meest vooraanstaande apostelen bij mensen hadden, omdat God daar ook geen waarde aan hecht. Dit terwijl het in de Grieks-Romeinse wereld juist gebruikelijk was om zelf aanzien en autoriteit te verkrijgen door aanbevolen te worden door zij die dat al hebben. Iets daarvan zien we wellicht <a class=""l"">Hand 22:3</a>; <a class=""l"">Rom 16:1</a>, <a class=""l"">1Kor 16:10-11</a> en <a class=""l"">2Kor 3:1</a>.</div>",2
62,48002006,"<div><b>legden mij niets op</b> – Ondanks dat Paulus niet hecht aan het aanzien dat de meest vooraanstaande apostelen bij anderen hadden, gebruikt hij het wel in zijn betoog om te laten zien dat ook zij die anderen zo belangrijk vinden hem niets oplegden en zijn boodschap erkenden. Zijn autoriteit als apostel werd daarmee erkend.</div>",3
63,48002007,"<div><b>mij het evangelie van de voorhuid toevertrouwd was</b> – De apostelen zagen in dat Paulus geroepen was om naar de niet-Joden te gaan (<a class=""l"">Hand 9:15</a>; <a class=""l"">26:17</a>), zoals Petrus geroepen was naar de Joden te gaan. Paulus noemt zich dan ook de 'leraar van de natiën' (<a class=""l"">1Tim 2:7</a>; <a class=""l"">2Tim 1:11</a>). Cornelius had weliswaar van Petrus het evangelie gebracht (Hand 10), maar hij was een uitzondering, en bovendien een proseliet. Verder was de bediening ven Petrus en die van de overige apostelen uitsluitend gericht tot het volk. Wel heeft Petrus' ervaring met Cornelius hem en de andere apostelen er op voorbereid dat het evangelie niet uitsluitend meer voor het volk is, maar ook rechtstreeks naar de natiën gebracht zou gaan worden door Paulus. Petrus opende de deur naar de natiën, Paulus ging er door heen.</div>",4
64,48002007,"<div><b>het evangelie van de voorhuid</b> – Sommigen staan erop, vanwege theologische overwegingen, niet 'van' maar 'aan' of 'voor' te vertalen, met het idee 'gericht aan'. Dit gebruik van de genitief, de tweede naamval, om een doel of richting aan te geven, is vrij zeldzaam, maar zou je kunnen zien in bijvoorbeeld <a class=""l"">Mat 10:5</a> of <a class=""l"">Heb 9:8</a>. Daar lezen we over 'de weg van de heidenen' en de 'weg van de <a class=""mw"">heilige</a> plaatsen'. Het idee is niet bezit of oorsprong, zoals de genitief meestal aanduidt, maar 'de weg richting', 'de weg die leidt naar'. Dit zou je ook hier in kunnen lezen, want ook hier gaat het niet zozeer om bezit of oorsprong, maar om het evangelie dat gericht is aan de voorhuid. Hier hoef je overigens niet expliciet 'aan' voor te vertalen, deze betekenis wordt ook duidelijk uit de huidige vertaling. Voor de theologische overwegingen, zie de theologische voetnoot bij dit vers.</div>",0
65,48002007,"<div><b>voorhuid ... besnijdenis</b> – De twee groepen worden hier aangeduid aan de hand van het wel of niet hebben van het belangrijkste religieuze kenmerk voor de Jood: zijn besnijdenis. De niet-Joden, ook wel als Grieken aangeduid, worden dan als 'voorhuid' aangesproken, elders ook wel 'onbesnedenen'. Overigens waren de Joden niet de enigen die zich liet besnijden, het kwam  soms ook onder de heidenen voor.</div>",2
66,48002007,"<div><b>het evangelie van de voorhuid ... dat van de besnijdenis</b> – Wordt hier nu gesproken over twee afzonderlijke evangeliën, of hetzelfde evangelie aan twee verschillende groepen? Om aan te tonen dat er daadwerkelijk twee verschillende evangeliën zijn wordt vaak naar dit vers verwezen, al geeft dit vers niet volledig uitsluitsel. Duidelijk is dat er over twee evangeliën wordt gesproken, gericht aan verschillende groepen. Maar met de benoeming van beiden staat nog niet vast of het alleen om een werkverdeling gaat (<a class=""l"">2:9</a>), of dat ook de inhoud van beide boodschappen verschilt. Ook de vertaling 'het evangelie aan/voor de voorhuid' of juist 'het evangelie van de voorhuid' geeft hier geen uitsluitsel over. Om te zien of het idee van <a class=""mw"">Schriftindeling</a> – dat Paulus een andere boodschap aan de natiën bracht dan Jezus en de apostelen aan het volk – juist is, zal de inhoud van beide boodschappen met elkaar vergeleken moeten worden en moet blijken over er verschil in zit. Zie daarvoor het onderwerp&nbsp;<div class=""zoek-oc"" name=""5075"">Schriftindeling</div> </div>",6
67,48002008,"<div><b>Hij Die in Petrus werkzaam is ... is ook in mij werkzaam</b> – Niemand twijfelde aan het apostelschap en de autoriteit van Petrus. Daarom is het van belang voor het betoog van Paulus dat Petrus zijn apostelschap en bediening erkende. Maar voor Paulus was het niet meer dan logisch, want zijn bediening en opdracht kreeg hij van Christus zelf, en God was in hem werkzaam, net zoals dit bij Petrus het geval was. Dat alleen had eigenlijk genoeg moeten zijn om zijn autoriteit te vestigen.</div>",3
